"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","officeRole","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","usedDisasterWindows","run_id","run_duration"
"1",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,134,45,89,23,345,482,14,34,34,11,6,1,34.471319437027
"2",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,131,18,104,15,396,537,23,14,14,4,1,12,25.4853184223175
"3",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,139,20,106,15,397,550,30,17,17,3,1,10,19.4007425308228
"4",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,131,15,78,14,400,558,66,14,14,1,1,8,13.9680848121643
"5",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,142,28,118,18,400,570,28,24,24,4,1,19,14.9640617370605
"6",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,140,14,113,13,366,543,53,11,11,3,0,6,23.8621833324432
"7",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,137,27,125,19,424,588,17,22,22,5,0,24,20.9313054084778
"8",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,132,28,103,19,374,511,12,22,22,6,1,22,14.2345957756042
"9",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,135,25,101,15,364,499,11,23,23,2,2,20,12.2153148651123
"10",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,138,25,129,17,393,561,18,21,21,4,0,11,13.3106231689453
"11",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,134,33,125,14,364,511,1,21,21,12,0,18,12.4945225715637
"12",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,141,17,124,19,370,538,29,15,15,2,0,16,14.1768712997437
"13",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,144,19,94,11,391,544,46,13,13,6,0,14,14.387051820755
"14",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,131,17,126,13,399,572,34,13,13,4,1,25,14.5285637378693
"15",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,137,30,88,21,373,500,21,18,18,12,1,23,16.9791824817657
"16",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,123,40,115,20,363,506,3,25,25,15,3,21,14.0665271282196
"17",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,128,18,127,23,385,555,28,15,15,3,2,2,15.7753944396973
"18",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,121,27,90,21,320,449,18,21,21,6,2,13,17.4053077697754
"19",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,128,19,144,25,409,591,21,17,17,2,0,17,14.0475869178772
"20",0.4,4,6.59927224717103,0.08,0.25,0.4,6.5,2.5,1000,0,2,1,129,21,81,17,392,530,40,17,17,4,1,4,12.4067268371582
