agencyid,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
1013,0.12,0.045,5.764921446,5.878937231,5.846131004
4043,0.125,0.05,6.262349187,6.371630688,6.334756676
6017,0.125,0.05,6.254603356,6.379891692,6.345005276
1061,0.12,0.045,5.766620932,5.88388949,5.82284261
4042,0.125,0.05,6.266750081,6.371286214,6.338989324
1003,0.12,0.045,5.749271163,5.881452906,5.86750483
3001,0.125,0.05,6.268695701,6.378466245,6.345173779
1057,0.12,0.045,5.757807254,5.877464756,5.843415096
1064,0.12,0.045,5.766755619,5.888847084,5.839388489
7016,0.107,0.035,5.285248037,5.418471464,5.376746591
4140,0.125,0.05,6.264977608,6.37837969,6.350535658
1040,0.12,0.045,5.765808261,5.893285799,5.85009167
7003,0.107,0.035,5.28181747,5.428005765,5.36320688
1008,0.12,0.045,5.762647883,5.877185901,5.837044087
6008,0.125,0.05,6.266717492,6.374907876,6.373503148
6022,0.125,0.05,6.256633108,6.385542643,6.371248427
4046,0.125,0.05,6.265237208,6.383814642,6.329154439
4032,0.125,0.05,6.252739273,6.377289079,6.370186224
4036,0.125,0.05,6.257291083,6.360716408,6.342040658
4029,0.125,0.05,6.254833664,6.372568705,6.327756029
4037,0.125,0.05,6.246643821,6.369513578,6.325756171
3019,0.12,0.045,5.75940254,5.886773734,5.832983655
4100,0.125,0.05,6.259408989,6.379868954,6.364679702
4056,0.125,0.05,6.257454386,6.375234357,6.31876145
3030,0.125,0.05,6.26441315,6.381633812,6.337421345
4031,0.125,0.05,6.250250206,6.363761662,6.347244673
4003,0.125,0.05,6.255898036,6.373376039,6.342837939
4063,0.125,0.05,6.255176087,6.380364818,6.327492924
4028,0.125,0.05,6.266559455,6.388538116,6.37679979
6048,0.125,0.05,6.265918747,6.376128383,6.34730594
4110,0.125,0.05,6.24484647,6.363586007,6.363586007
4040,0.125,0.05,6.26160649,6.366478082,6.343041401
3051,0.125,0.05,6.25755685,6.372986168,6.324780112
4014,0.125,0.05,6.260327328,6.378323345,6.377533101
6033,0.125,0.05,6.263728127,6.384985705,6.339245423
4141,0.125,0.05,6.267642844,6.389096469,6.384757451
4006,0.125,0.05,6.255816987,6.371792175,6.361482442
6014,0.125,0.05,6.25287274,6.378527037,6.348879181
4035,0.125,0.05,6.255856204,6.37235879,6.331638363
2099,0.12,0.045,5.749526298,5.888225066,5.814717569
2076,0.12,0.045,5.758187314,5.883218054,5.84353036
3018,0.12,0.045,5.766432046,5.903019697,5.875507657
5050,0.107,0.035,5.278954981,5.4149107,5.332478875
3015,0.12,0.045,5.767812924,5.883510576,5.854808402
3025,0.12,0.045,5.759656041,5.871845744,5.811020318
6024,0.125,0.05,6.244568036,6.371097705,6.332192855
3080,0.125,0.05,6.250069174,6.357132043,6.341197989
6011,0.125,0.05,6.253685176,6.377636161,6.369202609
3024,0.12,0.045,5.769879176,5.889140709,5.879155115
2004,0.12,0.045,5.76725286,5.89282392,5.831090787
5,0.08,0.025,4.817819602,4.944266798,4.846350192
40,0.08,0.025,4.82336305,4.966091165,4.828249316
7002,0.107,0.035,5.279576484,5.407993769,5.364680328
3070,0.125,0.05,6.253245489,6.364555723,6.321779398
4027,0.125,0.05,6.252848725,6.370965977,6.331968482
3085,0.125,0.05,6.258482711,6.366767813,6.339115087
3027,0.12,0.045,5.755169734,5.876989855,5.836739971
3072,0.125,0.05,6.261367716,6.383376985,6.354906208
4018,0.125,0.05,6.258160961,6.380548007,6.325944047
6007,0.125,0.05,6.255178816,6.370929942,6.319628996
1001,0.12,0.045,5.7693012,5.888452975,5.85944536
2084,0.12,0.045,5.767968705,5.891917292,5.831270756
1,0.08,0.025,4.823068932,4.962597494,4.834533565
4030,0.125,0.05,6.261740018,6.386119792,6.366437099
23,0.08,0.025,4.806428807,4.953169487,4.835183327
6056,0.125,0.05,6.258969723,6.368857496,6.321224186
5058,0.107,0.035,5.281128929,5.407407896,5.349529469
5005,0.107,0.035,5.284392801,5.410506348,5.373568114
2098,0.12,0.045,5.764910518,5.891491497,5.843838245
7048,0.107,0.035,5.282389781,5.420404299,5.340214826
4022,0.125,0.05,6.258041354,6.372185936,6.323429386
5044,0.107,0.035,5.271171846,5.409407244,5.362086431
3010,0.12,0.045,5.770560694,5.893131315,5.847407904
4173,0.125,0.05,6.24811842,6.361067,6.349531195
6009,0.125,0.05,6.261522458,6.378619777,6.357692324
5004,0.107,0.035,5.277517,5.426802365,5.366250912
3091,0.125,0.05,6.260402209,6.378054065,6.339224424
6010,0.125,0.05,6.248551938,6.361532572,6.343426501
7015,0.107,0.035,5.278280276,5.408671097,5.349930755
5006,0.107,0.035,5.274592141,5.402128788,5.329511775
5015,0.107,0.035,5.274657309,5.407391632,5.337366665
6101,0.125,0.05,6.252088498,6.366096173,6.334883411
3075,0.12,0.045,5.761249489,5.895372138,5.835388603
19,0.08,0.025,4.809088763,4.947096399,4.816003017
5052,0.107,0.035,5.284164566,5.414993722,5.359183715
5008,0.107,0.035,5.289852518,5.4182423,5.360968391
5066,0.107,0.035,5.277385821,5.406752071,5.331480475
5104,0.107,0.035,5.276505424,5.404284182,5.370851747
2082,0.12,0.045,5.75232546,5.880101948,5.831827996
5051,0.107,0.035,5.281159313,5.410589816,5.347727131
4078,0.125,0.05,6.26342203,6.377524234,6.330818826
5010,0.107,0.035,5.276772446,5.416864417,5.334740795
3012,0.12,0.045,5.766615271,5.893289272,5.850205224
4019,0.125,0.05,6.258743172,6.370096964,6.366097949
5118,0.107,0.035,5.273566651,5.399368759,5.335304869
9031,0.08,0.025,4.819609641,4.943068698,4.875369704
9079,0.08,0.025,4.818885292,4.955132942,4.836534323
4004,0.125,0.05,6.263447056,6.378817158,6.340700248
5154,0.107,0.035,5.275780689,5.401006256,5.350240965
3,0.08,0.025,4.813855205,4.954828246,4.819474952
6012,0.125,0.05,6.249301486,6.367169531,6.346925473
3044,0.12,0.045,5.767025361,5.879722334,5.825281657
4007,0.125,0.05,6.259047355,6.371601657,6.338351579
5011,0.107,0.035,5.284610239,5.413747609,5.327022446
5017,0.107,0.035,5.283100341,5.413852746,5.340635147
7,0.08,0.025,4.830296746,4.960843236,4.846664079
4002,0.125,0.05,6.259706924,6.373150541,6.324133556
3054,0.12,0.045,5.762502618,5.90007365,5.837351609
9206,0.08,0.025,4.804292208,4.944135609,4.819010658
5056,0.107,0.035,5.276985081,5.415212982,5.34800315
9151,0.08,0.025,4.823330267,4.96147328,4.848598326
4001,0.125,0.05,6.255048856,6.365301249,6.349187658
3022,0.12,0.045,5.76703549,5.893722013,5.857405845
2113,0.12,0.045,5.772343694,5.88595191,5.837218203
4130,0.125,0.05,6.25869459,6.373865677,6.31775613
4138,0.125,0.05,6.257737657,6.360519094,6.329069466
