agencyid,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
1013,0.12,0.06,5.866236081,5.987871557,5.954379214
4043,0.125,0.065,6.36205783,6.490510194,6.475523823
6017,0.125,0.065,6.374962673,6.494707747,6.510673816
1061,0.12,0.06,5.884828716,6.017921281,6.033859756
4042,0.125,0.065,6.359648992,6.478572037,6.466052388
1003,0.12,0.06,5.873083836,6.005447376,5.959173332
3001,0.125,0.065,6.365055017,6.494339722,6.486814962
1057,0.12,0.06,5.869641799,6.007848301,6.021967577
1064,0.12,0.06,5.865751464,5.986648338,5.96173375
7016,0.107,0.05,5.399235561,5.531065006,5.522412193
4140,0.125,0.065,6.364146049,6.494220494,6.472390787
1040,0.12,0.06,5.875149969,5.990364588,6.020183592
7003,0.107,0.05,5.390557298,5.532559577,5.458483244
1008,0.12,0.06,5.86671973,6.005719293,6.030967771
6008,0.125,0.065,6.363623727,6.498327238,6.519698887
6022,0.125,0.065,6.349622177,6.480355876,6.499806768
4046,0.125,0.065,6.37027812,6.491647201,6.465550346
4032,0.125,0.065,6.387160238,6.503742573,6.516784701
4036,0.125,0.065,6.365758564,6.483847526,6.500899167
4029,0.125,0.065,6.372067099,6.49010455,6.51316003
4037,0.125,0.065,6.361628804,6.489717041,6.479410318
3019,0.12,0.06,5.880646968,6.007881291,5.975208536
4100,0.125,0.065,6.367052654,6.482654833,6.484076279
4056,0.125,0.065,6.353293038,6.480277175,6.522903445
3030,0.125,0.065,6.364904865,6.492011293,6.497645664
4031,0.125,0.065,6.372971731,6.486495302,6.495113459
4003,0.125,0.065,6.366827015,6.48676246,6.515510758
4063,0.125,0.065,6.36476632,6.495621176,6.478549732
4028,0.125,0.065,6.367688005,6.492949203,6.464991495
6048,0.125,0.065,6.361871946,6.493277278,6.487595532
4110,0.125,0.065,6.384189341,6.510733599,6.539357472
4040,0.125,0.065,6.359735259,6.482319542,6.471985229
3051,0.125,0.065,6.375122044,6.499071488,6.481663685
4014,0.125,0.065,6.349805999,6.480060837,6.501501408
6033,0.125,0.065,6.358170663,6.49590363,6.489980495
4141,0.125,0.065,6.364117904,6.485259749,6.461810746
4006,0.125,0.065,6.370485624,6.491695411,6.486527657
6014,0.125,0.065,6.37371348,6.491255454,6.512507605
4035,0.125,0.065,6.355842112,6.469546032,6.473301003
2099,0.12,0.06,5.878740776,6.000246884,5.951311279
2076,0.12,0.06,5.886791207,6.00407732,6.00407732
3018,0.12,0.06,5.875788299,5.991897052,5.961451416
5050,0.107,0.05,5.397044677,5.530375372,5.525743169
3015,0.12,0.06,5.881723465,6.011271741,6.03132846
3025,0.12,0.06,5.866469475,6.006228267,5.969576097
6024,0.125,0.065,6.361474991,6.485486605,6.461205457
3080,0.125,0.065,6.36536296,6.484210645,6.499546515
6011,0.125,0.065,6.345857025,6.472577724,6.49489507
3024,0.12,0.06,5.872296844,5.986111181,5.990086432
2004,0.12,0.06,5.857951763,5.984590876,5.951094844
5,0.08,0.045,4.955562354,5.053742171,4.957056608
40,0.08,0.045,4.942307435,5.040510443,4.96509605
7002,0.107,0.05,5.409885018,5.53590108,5.521322475
3070,0.125,0.065,6.352668691,6.482601914,6.48699904
4027,0.125,0.065,6.366638868,6.481646096,6.502779651
3085,0.125,0.065,6.364678187,6.490309223,6.462551474
3027,0.12,0.06,5.879998761,6.015011952,6.048228686
3072,0.125,0.065,6.365695752,6.4950222,6.455809337
4018,0.125,0.065,6.368166993,6.475949664,6.466233921
6007,0.125,0.065,6.361691335,6.485051599,6.477715741
1001,0.12,0.06,5.875178615,6.002101519,5.988864741
2084,0.12,0.06,5.879694485,6.015022678,6.00074642
1,0.08,0.045,4.971577539,5.080535301,5.02941161
4030,0.125,0.065,6.381257928,6.493439989,6.481963787
23,0.08,0.045,4.965378274,5.074769414,4.989649191
6056,0.125,0.065,6.351119452,6.492852666,6.474717672
5058,0.107,0.05,5.400251843,5.545800777,5.535991477
5005,0.107,0.05,5.393891084,5.552497105,5.461194877
2098,0.12,0.06,5.876166714,6.018182794,6.005482093
7048,0.107,0.05,5.403667111,5.547490705,5.544169961
4022,0.125,0.065,6.37393118,6.49498414,6.496024253
5044,0.107,0.05,5.3921478,5.528512397,5.462697224
3010,0.12,0.06,5.875728923,5.991018264,5.961779296
4173,0.125,0.065,6.372289263,6.496074866,6.544687168
6009,0.125,0.065,6.365387241,6.475565166,6.46261433
5004,0.107,0.05,5.403223407,5.55571456,5.492310021
