"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"Baseline"
"02/07/2020 12:22:14:480 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"7","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","17","113","341","1002","1183","4","10","10","7","1"
"25","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","16","116","329","927","1116","12","9","9","7","2"
"18","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","110","354","996","1163","8","13","13","5","6"
"5","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","13","114","313","1008","1174","5","11","11","2","4"
"21","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","105","316","987","1147","11","13","13","5","3"
"24","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","20","86","318","913","1063","12","15","15","5","8"
"26","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","13","90","323","1019","1193","42","10","10","3","4"
"23","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","30","97","288","865","1020","2","20","20","10","6"
"28","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","100","290","933","1083","4","16","16","6","1"
"12","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","31","84","313","905","1051","3","17","17","14","5"
"8","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","11","87","365","1060","1260","64","10","10","1","5"
"3","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","30","103","272","917","1071","1","14","14","16","6"
"22","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","123","350","1034","1230","22","15","15","3","4"
"4","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","19","119","309","956","1138","14","17","17","2","5"
"10","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","141","285","911","1110","10","17","17","1","6"
"11","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","23","95","303","847","1007","8","15","15","8","6"
"15","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","12","80","320","960","1119","37","12","12","0","2"
"6","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","15","116","300","934","1126","27","13","13","2","3"
"9","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","129","325","1004","1184","3","15","15","3","7"
"13","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","24","111","324","934","1104","3","22","22","2","10"
"1","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","14","105","334","982","1172","38","12","12","2","1"
"19","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","94","275","947","1092","13","11","11","11","4"
"16","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","87","293","934","1080","3","14","14","8","2"
"17","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","12","80","320","951","1098","24","10","10","2","3"
"20","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","20","114","293","960","1122","5","12","12","8","4"
"14","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","16","87","312","994","1140","10","9","9","7","2"
"2","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","12","109","307","1054","1232","32","9","9","3","2"
"27","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","79","296","999","1140","30","10","10","8","5"
"30","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","26","80","272","940","1078","19","13","13","13","6"
"32","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","32","83","295","964","1101","11","19","19","13","2"
"29","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","28","86","277","875","1013","6","20","20","8","5"
"31","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","21","86","317","938","1092","18","13","13","8","3"
"33","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","10","116","332","1088","1265","13","10","10","0","7"
"35","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","17","58","319","943","1046","2","11","11","6","2"
"34","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","15","123","312","935","1125","14","12","12","3","2"
"36","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","8","106","344","1021","1205","30","6","6","2","2"
"38","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","25","73","267","912","1055","23","18","18","7","2"
"37","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","14","114","305","932","1126","29","14","14","0","2"
"43","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","103","294","969","1127","0","12","12","6","5"
"41","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","9","83","326","1002","1139","10","8","8","1","1"
"39","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","10","132","315","920","1121","21","9","9","1","1"
"40","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","20","104","318","889","1061","12","15","15","5","5"
"42","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","79","269","993","1135","26","11","11","7","4"
"44","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","30","94","306","866","1010","4","23","23","7","6"
"45","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","19","90","291","940","1101","7","14","14","5","4"
"47","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","17","107","298","998","1145","4","10","10","7","2"
"46","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","11","117","330","1005","1179","16","8","8","3","2"
"48","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","13","80","298","974","1113","13","13","13","0","5"
