"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"02/02/2020 00:02:46:083 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"24","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.6","0.03","true","false","true","1001","9","39","339","251","339","18","5","5","4","5"
"16","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.3","0.03","true","false","true","1001","11","19","366","283","366","5","5","5","6","5"
"6","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0","0.02","true","false","true","1001","7","0","311","94","311","35","0","0","7","0"
"22","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.6","0.02","true","false","true","1001","23","99","311","113","311","9","16","16","7","16"
"10","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.3","0","true","false","true","1001","36","68","279","3","279","9","15","15","21","15"
"28","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","1","0.01","true","false","true","1001","43","235","298","25","298","5","33","33","10","33"
"4","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0","0.01","true","false","true","1001","8","0","341","29","341","42","0","0","8","0"
"8","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0","0.03","true","false","true","1001","4","0","318","221","318","12","0","0","4","0"
"18","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.6","0","true","false","true","1001","53","128","284","4","284","9","35","35","18","35"
"26","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","1","0","true","false","true","1001","49","224","294","12","294","21","37","37","12","37"
"2","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0","0","true","false","true","1001","22","0","306","3","306","16","0","0","22","0"
"12","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.3","0.01","true","false","true","1001","19","59","344","28","344","34","10","10","9","10"
"20","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.6","0.01","true","false","true","1001","34","131","299","30","299","21","25","25","9","25"
"14","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.3","0.02","true","false","true","1001","12","60","325","85","325","28","9","9","3","9"
"30","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","1","0.02","true","false","true","1001","17","169","301","101","301","15","16","16","1","16"
"32","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","1","0.03","true","false","true","1001","4","41","297","222","297","32","2","2","2","2"
"40","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0","0.03","true","false","true","1001","4","0","342","249","342","13","0","0","4","0"
"38","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0","0.02","true","false","true","1001","3","0","355","91","355","42","0","0","3","0"
"36","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0","0.01","true","false","true","1001","9","0","294","19","294","39","0","0","9","0"
"42","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0","true","false","true","1001","34","71","298","9","298","1","17","17","17","17"
"34","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0","0","true","false","true","1001","4","0","340","17","340","66","0","0","4","0"
"44","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0.01","true","false","true","1001","26","73","333","37","333","8","17","17","9","17"
"46","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0.02","true","false","true","1001","22","45","330","114","330","44","7","7","15","7"
"48","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0.03","true","false","true","1001","13","15","354","257","354","7","8","8","5","8"
"50","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.6","0","true","false","true","1001","43","103","272","14","272","23","31","31","12","31"
"52","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.6","0.01","true","false","true","1001","51","105","262","25","262","4","28","28","23","28"
"54","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.6","0.02","true","false","true","1001","27","87","325","128","325","18","22","22","5","22"
"7","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0","0.03","true","true","true","1001","23","0","290","201","290","0","0","0","23","0"
"3","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0","0.01","true","true","true","1001","28","0","324","10","324","8","0","0","28","0"
"21","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.6","0.02","true","true","true","1001","29","109","322","106","322","8","20","20","9","20"
"5","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0","0.02","true","true","true","1001","6","0","356","97","356","79","0","0","6","0"
"1","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0","0","true","true","true","1001","15","0","318","4","318","9","0","0","15","0"
"11","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.3","0.01","true","true","true","1001","26","68","314","23","314","40","18","18","8","18"
"27","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","1","0.01","true","true","true","1001","22","220","323","10","323","73","20","20","2","20"
"25","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","1","0","true","true","true","1001","75","182","234","0","234","1","51","51","24","51"
"9","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.3","0","true","true","true","1001","36","65","273","3","273","11","21","21","15","21"
"56","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.6","0.03","true","false","true","1001","15","29","301","227","301","12","7","7","8","7"
"23","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.6","0.03","true","true","true","1001","13","32","322","226","322","16","10","10","3","10"
"15","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.3","0.03","true","true","true","1001","11","18","365","262","365","18","7","7","4","7"
"13","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.3","0.02","true","true","true","1001","29","42","277","78","277","4","16","16","13","16"
"19","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.6","0.01","true","true","true","1001","35","119","264","14","264","25","18","18","17","18"
"58","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","1","0","true","false","true","1001","64","196","256","12","256","2","46","46","18","46"
"17","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","0.6","0","true","true","true","1001","26","132","323","3","323","49","23","23","3","23"
"39","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0","0.03","true","true","true","1001","3","0","325","229","325","14","0","0","3","0"
"60","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","1","0.01","true","false","true","1001","34","250","309","21","309","8","30","30","4","30"
"62","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","1","0.02","true","false","true","1001","34","161","297","112","297","2","22","22","12","22"
"64","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","1","0.03","true","false","true","1001","15","51","329","245","329","20","13","13","2","13"
"66","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0","0","true","false","true","1001","5","0","328","6","328","47","0","0","5","0"
"33","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0","0","true","true","true","1001","4","0","367","1","367","95","0","0","4","0"
"68","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0","0.01","true","false","true","1001","6","0","325","28","325","33","0","0","6","0"
"31","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","1","0.03","true","true","true","1001","17","68","345","257","345","9","11","11","6","11"
"29","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.3","1","0.02","true","true","true","1001","37","186","292","73","292","6","27","27","10","27"
"35","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0","0.01","true","true","true","1001","6","0","303","21","303","50","0","0","6","0"
"72","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0","0.03","true","false","true","1001","3","0","338","236","338","15","0","0","3","0"
"70","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0","0.02","true","false","true","1001","0","0","353","108","353","90","0","0","0","0"
"74","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.3","0","true","false","true","1001","35","77","295","8","295","9","13","13","22","13"
"37","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0","0.02","true","true","true","1001","1","0","315","88","315","60","0","0","1","0"
"41","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0","true","true","true","1001","22","59","279","0","279","11","11","11","11","11"
"47","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0.03","true","true","true","1001","7","22","296","217","296","18","5","5","2","5"
"76","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.3","0.01","true","false","true","1001","7","74","319","32","319","50","7","7","0","7"
"78","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.3","0.02","true","false","true","1001","31","44","289","95","289","5","18","18","13","18"
"80","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.3","0.03","true","false","true","1001","14","13","316","226","316","5","5","5","9","5"
"82","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0","true","false","true","1001","43","135","268","10","268","15","26","26","17","26"
"84","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0.01","true","false","true","1001","38","135","287","34","287","8","24","24","14","24"
"43","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0.01","true","true","true","1001","25","70","337","20","337","48","14","14","11","14"
"45","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","0.6","0.3","0.02","true","true","true","1001","14","37","337","80","337","16","9","9","5","9"
"86","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0.02","true","false","true","1001","15","83","319","102","319","46","12","12","3","12"
