"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"01/17/2020 16:30:59:252 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","b1","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"2","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"23","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0","1001","9","0","0","0","0","0","0","0","9","0"
"5","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0","1001","0","0","0","0","0","0","0","0","0","0"
"3","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0","1001","22","0","0","0","0","0","0","0","22","0"
"4","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0","1001","18","0","0","0","0","0","0","0","18","0"
"6","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.01","1001","9","0","0","0","0","0","0","0","9","0"
"1","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0","1001","18","0","0","0","0","0","0","0","18","0"
"21","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0","1001","10","0","0","0","0","0","0","0","10","0"
"13","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.02","1001","13","0","0","0","0","0","0","0","13","0"
"11","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.02","1001","16","0","0","0","0","0","0","0","16","0"
"8","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.01","1001","6","0","0","0","0","0","0","0","6","0"
"24","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0","1001","0","0","0","0","0","0","0","0","0","0"
"17","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.03","1001","15","0","0","0","0","0","0","0","15","0"
"26","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.01","1001","6","0","0","0","0","0","0","0","6","0"
"12","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"15","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"9","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.01","1001","15","0","0","0","0","0","0","0","15","0"
"20","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"18","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.03","1001","3","0","0","0","0","0","0","0","3","0"
"14","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"25","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0","1001","24","0","0","0","0","0","0","0","24","0"
"19","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.03","1001","8","0","0","0","0","0","0","0","8","0"
"7","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.01","1001","14","0","0","0","0","0","0","0","14","0"
"22","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0","1001","25","0","0","0","0","0","0","0","25","0"
"10","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.01","1001","9","0","0","0","0","0","0","0","9","0"
"27","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.01","1001","7","0","0","0","0","0","0","0","7","0"
"28","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.01","1001","10","0","0","0","0","0","0","0","10","0"
"16","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0","0.03","1001","11","0","0","0","0","0","0","0","11","0"
"29","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.01","1001","15","0","0","0","0","0","0","0","15","0"
"35","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.02","1001","10","0","0","0","0","0","0","0","10","0"
"33","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.02","1001","8","0","0","0","0","0","0","0","8","0"
"39","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.03","1001","5","0","0","0","0","0","0","0","5","0"
"31","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.02","1001","11","0","0","0","0","0","0","0","11","0"
"38","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.03","1001","8","0","0","0","0","0","0","0","8","0"
"37","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"32","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.02","1001","8","0","0","0","0","0","0","0","8","0"
"30","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.01","1001","4","0","0","0","0","0","0","0","4","0"
"42","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0","1001","17","0","0","0","0","0","0","0","17","0"
"41","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0","1001","18","0","0","0","0","0","0","0","18","0"
"43","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0","1001","4","0","0","0","0","0","0","0","4","0"
