"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020.nlogo"
"adaptation"
"01/14/2020 00:14:23:083 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","EWProbDecay","b1","[step]","count orgs with [coping-change?]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"10","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.02","0.3","1001","117","8","115","343","118","343","10","5","5","3","5"
"14","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.03","0.3","1001","112","8","45","350","264","350","0","1","1","7","1"
"15","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.03","0.6","1001","103","6","40","330","236","330","12","4","4","2","4"
"4","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0","1","1001","147","37","121","320","20","320","11","17","17","20","17"
"2","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0","0.3","1001","167","21","151","348","16","348","35","13","13","8","13"
"8","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.01","1","1001","146","32","133","286","21","286","3","14","14","18","14"
"3","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0","0.6","1001","163","18","135","347","12","347","28","12","12","6","12"
"13","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.03","0","1001","112","4","36","339","254","339","18","1","1","3","1"
"6","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.01","0.3","1001","140","21","114","331","27","331","13","14","14","7","14"
"11","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.02","0.6","1001","118","16","109","329","98","329","17","8","8","8","8"
"1","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0","0","1001","144","33","108","280","9","280","12","10","10","23","10"
"9","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.02","0","1001","129","12","95","308","99","308","5","8","8","4","8"
"16","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.03","1","1001","107","18","27","328","247","328","15","7","7","11","7"
"5","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.01","0","1001","145","20","125","312","32","312","9","7","7","13","7"
"7","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.01","0.6","1001","152","20","118","285","21","285","19","8","8","12","8"
"12","0.4","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","0","0.02","1","1001","128","12","72","317","100","317","49","11","11","1","11"
"33","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","0","1001","159","58","99","288","8","288","8","32","32","26","32"
"34","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","0.3","1001","148","44","113","308","13","308","12","26","26","18","26"
"36","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1","1001","163","43","113","283","4","283","8","25","25","18","25"
"37","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","0","1001","148","34","103","263","21","263","9","17","17","17","17"
"44","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1","1001","121","34","79","319","97","319","8","25","25","9","25"
"38","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","0.3","1001","135","25","113","301","13","301","16","17","17","8","17"
"39","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","0.6","1001","141","36","109","316","29","316","20","23","23","13","23"
"40","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1","1001","141","34","98","270","23","270","9","21","21","13","21"
"42","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","0.3","1001","118","14","87","315","109","315","16","7","7","7","7"
"41","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","0","1001","123","24","84","314","111","314","17","18","18","6","18"
"35","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","0.6","1001","156","24","137","334","10","334","28","16","16","8","16"
"43","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","0.6","1001","115","24","66","294","102","294","24","18","18","6","18"
"46","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","0.3","1001","106","14","22","298","231","298","7","5","5","9","5"
"45","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","0","1001","109","9","35","354","241","354","14","7","7","2","7"
"47","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","0.6","1001","101","7","38","334","238","334","9","6","6","1","6"
"48","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1","1001","113","11","23","352","270","352","11","5","5","6","5"
