"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"adaptation"
"01/17/2020 15:20:21:738 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"19","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"14","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","7","0","0","0","0","0","0","0","7","0"
"18","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"28","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","12","0","0","0","0","0","0","0","12","0"
"17","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"4","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","9","0","0","0","0","0","0","0","9","0"
"16","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"3","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","13","0","0","0","0","0","0","0","13","0"
"13","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","11","0","0","0","0","0","0","0","11","0"
"20","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","6","0","0","0","0","0","0","0","6","0"
"15","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","5","0","0","0","0","0","0","0","5","0"
"26","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","1","0","0","0","0","0","0","0","1","0"
"9","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","6","0","0","0","0","0","0","0","6","0"
"12","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","6","0","0","0","0","0","0","0","6","0"
"25","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","13","0","0","0","0","0","0","0","13","0"
"10","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","9","0","0","0","0","0","0","0","9","0"
"6","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","3","0","0","0","0","0","0","0","3","0"
"7","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","3","0","0","0","0","0","0","0","3","0"
"5","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","20","0","0","0","0","0","0","0","20","0"
"27","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","10","0","0","0","0","0","0","0","10","0"
"22","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","8","0","0","0","0","0","0","0","8","0"
"24","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","5","0","0","0","0","0","0","0","5","0"
"23","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","5","0","0","0","0","0","0","0","5","0"
"1","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","10","0","0","0","0","0","0","0","10","0"
"8","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","0","0","0","0","0","0","0","0","0","0"
"11","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","8","0","0","0","0","0","0","0","8","0"
"2","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","0","0","1001","1","0","0","0","0","0","0","0","1","0"
"21","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0","1001","6","0","0","0","0","0","0","0","6","0"
"30","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","10","0","0","0","0","0","0","0","10","0"
"36","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"31","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"32","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","5","0","0","0","0","0","0","0","5","0"
"33","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","4","0","0","0","0","0","0","0","4","0"
"34","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","6","0","0","0","0","0","0","0","6","0"
"29","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","3","0","0","0","0","0","0","0","3","0"
"44","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","10","0","0","0","0","0","0","0","10","0"
"47","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","6","0","0","0","0","0","0","0","6","0"
"53","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"37","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"40","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","8","0","0","0","0","0","0","0","8","0"
"39","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"43","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","11","0","0","0","0","0","0","0","11","0"
"49","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","3","0","0","0","0","0","0","0","3","0"
"35","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"38","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"42","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","10","0","0","0","0","0","0","0","10","0"
"48","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","22","0","0","0","0","0","0","0","22","0"
"41","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","7","0","0","0","0","0","0","0","7","0"
"51","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"46","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","2","0","0","0","0","0","0","0","2","0"
"52","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"56","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"45","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","0","0","0","0","0","0","0","0","0","0"
"55","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"50","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","9","0","0","0","0","0","0","0","9","0"
"54","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","12","0","0","0","0","0","0","0","12","0"
"57","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"58","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","7","0","0","0","0","0","0","0","7","0"
