"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn4"
"02/02/2020 16:31:55:421 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"2","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","24","0.3","0","0","true","true","true","true","1001","75","511","242","31","883","70","51","51","24","0"
"1","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","24","0.3","0","0","true","true","true","true","1001","16","0","327","4","327","31","0","0","16","0"
"27","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","24","1","0","0","true","true","true","true","1001","58","861","249","106","1281","25","53","53","5","0"
"13","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","24","0.6","0","0","true","true","true","true","1001","14","0","314","4","314","34","0","0","14","0"
"26","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","24","1","0","0","true","true","true","true","1001","60","556","248","69","931","14","54","54","6","0"
"3","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","24","0.3","0","0","true","true","true","true","1001","87","732","227","33","1069","10","72","72","15","0"
"25","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","24","1","0","0","true","true","true","true","1001","6","0","356","12","356","62","0","0","6","0"
"16","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","24","0.6","0","0","true","true","true","true","1001","89","954","211","37","1289","13","75","75","14","0"
"15","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","24","0.6","0","0","true","true","true","true","1001","79","731","273","53","1132","25","60","60","19","0"
"4","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","24","0.3","0","0","true","true","true","true","1001","61","1271","268","25","1665","56","57","57","4","0"
"14","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","24","0.6","0","0","true","true","true","true","1001","70","508","266","59","896","27","52","52","18","0"
