"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"Baseline"
"02/05/2020 20:49:55:808 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"20","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","23","58","293","776","896","11","20","20","3","6"
"14","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","14","80","303","796","934","19","9","9","5","2"
"2","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","21","72","317","785","895","1","12","12","9","3"
"12","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","91","300","790","939","1","13","13","9","1"
"7","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","16","71","293","809","933","9","12","12","4","6"
"26","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","21","70","299","793","916","3","16","16","5","4"
"19","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","9","75","312","828","971","18","6","6","3","1"
"22","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","20","79","272","729","876","15","15","15","5","8"
"28","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","21","70","326","839","968","9","14","14","7","6"
"9","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","25","72","264","800","916","2","16","16","9","7"
"10","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","16","45","282","847","943","24","13","13","3","3"
"3","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","11","94","322","775","951","27","10","10","1","2"
"24","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","19","52","276","794","902","10","13","13","6","6"
"23","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","26","98","310","747","919","6","16","16","10","7"
"16","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","24","65","283","782","900","6","14","14","10","4"
"8","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","17","67","277","802","895","4","9","9","8","4"
"6","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","22","84","307","832","989","15","17","17","5","7"
"21","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","23","86","280","726","856","2","13","13","10","1"
"11","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","28","83","286","780","925","6","17","17","11","8"
"15","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","26","64","301","765","898","16","16","16","10","6"
"4","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","20","69","295","800","924","20","13","13","7","4"
"25","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","15","69","324","813","940","10","12","12","3","6"
"17","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","9","70","303","799","929","31","8","8","1","2"
