"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"otherInf"
"02/20/2020 18:42:04:061 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","othersInf?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","141","2121.291434024001","226","150","39","493","1","118","118","23","16"
"8","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2486.148260856004","344","218","35","644","4","111","111","18","13"
"6","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","151","1947.9268589880007","255","150","18","499","4","120","120","31","13"
"3","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","123","2618.4141932760017","348","181","22","609","11","109","109","14","13"
"7","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","133","2263.4243961880047","321","171","24","582","2","110","110","23","15"
"2","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","137","2374.2485124600034","337","184","24","611","9","115","115","22","12"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","130","2440.496574460003","319","184","30","590","5","113","113","17","19"
"1","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","112","3087.9863224680025","438","213","33","745","11","107","107","5","9"
"9","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","130","2399.7712378640053","321","162","28","572","4","115","115","15","19"
"10","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","137","2261.217175864001","283","198","17","550","4","117","117","20","22"
"11","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","127","2749.2450741640055","342","166","29","603","9","117","117","10","11"
"12","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","149","1909.1203136040021","257","132","27","503","3","117","117","32","11"
"14","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","141","2332.9308845080045","329","154","29","579","2","120","120","21","18"
"13","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","135","2018.3417026240006","258","155","20","505","5","118","118","17","14"
"15","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","118","2619.9670059680016","318","201","38","608","5","108","108","10","20"
