"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/07/2020 02:47:23:297 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpt","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOpportunitiesMissed","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpportunities","totalUtilizedDisasterOpportunities","totalUtilizedOpportunities","totalNeededOpportunities","sufficientCap","totalUtilized"
"1","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","12825.472690915982","38217","1192","1974","49","2","1074","10","27","27","25","0"
"5","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","58","13391.47911551598","38217","1190","2063","83","9","1163","4","24","24","34","0"
"4","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","35","12614.491801927914","38217","1303","1923","130","25","1107","5","16","16","19","0"
"6","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12631.51805883994","38217","1368","1975","78","7","1077","10","26","26","18","0"
"8","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","56","12784.89539891996","38217","1221","2028","83","4","1125","9","29","29","27","0"
"7","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","12957.413385075963","38217","1288","2030","88","4","1123","9","26","26","25","0"
"3","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12403.675965147952","38217","1272","1972","123","7","1072","10","21","21","18","0"
"2","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","30","12447.288098711939","38217","1244","1909","154","18","1072","3","14","14","16","0"
"9","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","13297.760234503918","38217","1117","2036","98","6","1136","7","25","25","25","0"
"10","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","35","12354.280905655987","38217","1300","1954","120","8","1056","9","19","19","16","0"
"11","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12929.747497883953","38217","1419","2012","84","8","1093","8","22","22","22","0"
"14","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","13190.851438159942","38217","1444","2053","79","5","1113","10","21","21","19","0"
"13","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","13528.220919503938","38217","1198","2108","128","4","1142","7","21","21","31","0"
"15","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","12626.577484379943","38217","1296","1997","77","4","1090","6","19","19","24","0"
"12","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12425.254199043953","38217","1297","1964","81","4","1065","5","19","19","23","0"
"17","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","12533.38481943595","38217","1117","1914","68","8","1093","7","31","31","20","0"
"18","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12176.033619647953","38217","1306","1946","75","2","1074","9","23","23","17","0"
"19","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12620.097892935935","38217","1340","1954","77","6","1132","13","29","29","10","0"
"16","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12477.915668839962","38217","1352","2000","79","10","1124","10","22","22","17","0"
"24","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12394.769384083973","38217","1302","1947","87","5","1078","3","14","14","26","0"
"25","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","47","12532.846317891961","38217","1160","1931","106","4","1114","6","20","20","27","0"
"20","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12797.830599091934","38217","1400","1966","104","4","1123","5","20","20","24","0"
"21","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12352.200141919933","38217","1146","1966","119","9","1091","11","23","23","21","0"
"22","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12853.187639316004","38217","1276","2008","132","6","1089","4","17","17","23","0"
"23","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","12147.322083527968","38217","1181","1912","95","7","1101","8","23","23","28","0"
"26","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12603.133703835982","38217","1282","2025","152","21","1132","7","17","17","22","0"
"28","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","12310.606437691937","38217","1337","1980","98","7","1111","6","16","16","22","0"
"29","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","60","13067.224012311959","38217","1068","2030","127","8","1096","10","24","24","36","0"
