"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/11/2020 22:51:11:197 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"10","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","36","10604.650532843958","10659","1690","898","149","5","474","148","818","7","16","16","20","0","877","9"
"7","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","51","10931.832850863959","10659","1750","682","187","10","642","198","835","13","31","31","20","0","919","18"
"13","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","41","10385.06276336397","10659","1657","699","129","15","603","187","826","11","24","24","17","0","833","13"
"3","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","10875.849625467969","10659","1689","681","135","9","675","163","790","7","26","26","24","0","905","19"
"9","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","44","10464.352567463988","10659","1671","794","123","5","554","174","801","11","21","21","23","0","872","10"
"15","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","40","10394.016744167966","10659","1632","787","137","11","510","171","789","8","16","16","24","0","846","8"
"14","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","57","10168.573960083979","10659","1627","701","81","6","700","111","769","12","28","28","29","0","861","16"
"28","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","11268.351060067977","10659","1719","793","137","13","610","141","797","10","25","25","25","0","927","15"
"19","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","38","10886.397368131977","10659","1699","759","198","7","464","258","810","2","13","13","25","0","896","11"
"26","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","55","11268.73897529994","10659","1767","648","213","6","653","219","847","11","28","28","27","0","921","17"
"11","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","48","10443.954471039979","10659","1712","658","221","3","590","212","750","10","28","28","20","0","965","18"
"24","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","37","10701.889101775989","10659","1661","741","211","8","471","215","790","6","15","15","22","0","878","9"
