"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/11/2020 22:31:43:425 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"3","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","30","11172.222398819971","10659","1745","1261","32","5","392","44","792","2","11","11","19","0","959","9"
"6","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","29","10924.248066447984","10659","1695","1182","40","8","417","38","851","5","10","10","19","0","847","5"
"26","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","10357.70016961598","10659","1633","773","98","4","592","146","804","6","20","20","30","0","829","14"
"11","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","51","10993.69550699596","10659","1736","750","149","6","626","183","813","7","22","22","29","0","924","15"
"24","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","29","10502.823472299995","10659","1634","1028","96","6","372","122","788","3","10","10","19","0","848","7"
"23","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","41","11000.305603411953","10659","1694","831","125","4","586","130","771","7","18","18","23","0","925","11"
"19","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","55","10533.604081048","10659","1667","679","127","7","682","153","782","7","19","19","36","0","890","12"
"14","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","41","10491.435760015976","10659","1658","846","147","12","463","175","810","8","15","15","26","0","851","7"
"8","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","38","10566.42407428399","10659","1629","858","133","5","460","154","779","11","19","19","19","0","850","8"
"17","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","39","10111.915446004003","10659","1616","807","155","9","453","177","786","6","15","15","24","0","836","9"
"18","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","29","11023.75553859595","10659","1726","1219","59","13","348","79","844","3","8","8","21","0","889","5"
"25","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","52","10401.001346203991","10659","1688","710","142","9","651","146","777","12","30","30","22","0","914","18"
"28","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","63","10492.969592647965","10659","1670","671","116","6","714","139","776","11","24","24","39","0","897","13"
"5","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","54","11157.290055003969","10659","1687","836","31","10","725","68","831","8","17","17","37","0","858","9"
"20","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","50","10148.270535987991","10659","1636","751","86","4","653","117","821","10","25","25","25","0","820","15"
"2","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","37","10726.39646894397","10659","1667","794","171","8","501","179","787","6","14","14","23","0","881","8"
"9","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","31","10680.65758000799","10659","1664","1095","71","2","381","99","812","8","16","16","15","0","857","8"
"16","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","47","11713.563099663987","10659","1771","782","147","11","666","143","818","6","22","22","25","0","957","16"
"7","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","55","10834.478646683945","10659","1736","695","141","13","737","133","824","7","17","17","38","0","914","10"
"27","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","25","11117.601895375974","10659","1733","1301","53","5","322","39","845","2","13","13","12","0","895","11"
"21","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","23","11339.171513043935","10659","1766","1358","49","6","275","70","840","4","8","8","15","0","928","4"
"13","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","57","10109.533648220002","10659","1639","687","118","10","663","135","736","9","26","26","31","0","907","17"
"1","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","48","10710.49760343598","10659","1676","662","167","8","597","222","805","8","20","20","28","0","875","13"
"4","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","47","10228.477219143986","10659","1588","604","171","8","568","212","767","9","25","25","22","0","826","16"
"10","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","64","10278.738988919977","10659","1585","622","65","5","758","108","747","11","27","27","37","0","840","16"
"15","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","32","10842.302068983961","10659","1761","1260","81","8","308","93","771","5","11","11","21","0","991","6"
"22","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","48","10594.234913031967","10659","1701","769","151","9","573","171","796","12","28","28","20","0","906","16"
"12","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","24","10646.621514795992","10659","1688","1247","58","3","308","66","850","4","6","6","18","0","838","2"
"32","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","43","11274.879001707997","10659","1781","1003","105","16","507","135","835","4","15","15","28","0","949","11"
"29","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","33","10501.610281807993","10659","1660","870","185","6","414","173","768","5","12","12","21","0","895","7"
"36","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","24","10913.956229483974","10659","1716","1223","71","5","309","95","825","3","13","13","11","0","896","10"
"33","0.6","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","31","10216.185827855961","10659","1640","1163","30","4","393","42","788","2","8","8","23","0","858","6"
"34","0.4","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","62","10628.576136771982","10659","1676","621","133","4","756","137","794","8","25","25","37","0","887","17"
"31","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","52","10952.886775399938","10659","1741","662","191","3","665","198","805","4","22","22","30","0","939","18"
"30","0.6","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","18","10025.950919987998","10659","1609","1255","57","8","202","80","762","2","7","7","11","0","851","5"
"35","0.5","4","10","0.3","6","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","37","10745.368003831969","10659","1750","898","144","25","468","196","809","7","19","19","18","0","945","12"
