"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"capBoost"
"02/15/2020 23:26:46:952 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"10","0.3","4","0.08","8","0.25","0.4","6.5","1.5","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","42","1324","230","8702","10113","18","31","31","11","0"
"15","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","65","1038","225","7578","8733","6","57","57","8","2"
"18","0.3","4","0.08","8","0.25","0.4","6.5","2.3","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","44","1003","230","8812","9901","2","39","39","5","0"
"8","0.3","4","0.08","8","0.25","0.4","6.5","2.2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","43","1054","245","9067","10229","15","42","42","1","0"
"28","0.3","4","0.08","8","0.25","0.4","6.5","1.5","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","24","1498","282","9685","11332","81","23","23","1","0"
"7","0.3","4","0.08","8","0.25","0.4","6.5","2.1","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","79","768","200","7024","7892","2","63","63","16","0"
"22","0.3","4","0.08","8","0.25","0.4","6.5","1.8","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","39","1282","266","9033","10437","36","33","33","6","0"
"5","0.3","4","0.08","8","0.25","0.4","6.5","1.9","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","54","1081","244","8088","9273","5","41","41","13","1"
"20","0.3","4","0.08","8","0.25","0.4","6.5","1.6","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","45","1386","236","8393","9878","7","39","39","6","0"
"23","0.3","4","0.08","8","0.25","0.4","6.5","1.9","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","48","1392","257","8243","9746","9","42","42","6","1"
"16","0.3","4","0.08","8","0.25","0.4","6.5","2.1","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","49","971","250","8670","9729","12","41","41","8","2"
"27","0.3","4","0.08","8","0.25","0.4","6.5","2.3","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","54","863","246","8473","9420","3","46","46","8","4"
"24","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","49","1078","248","8738","9914","8","46","46","3","2"
