"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayMemory"
"05/17/2020 16:14:21:455 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","randomChance","startingFund","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"26","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","1","0.3","0.3","0.018","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","102","7462.983551315997","389","371","875","2966","7","84","84","18","3","2600"
"25","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","1","0.3","0.3","0.018","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","86","4004.3456402560028","86","331","198","668","3","47","47","39","8","337"
"2","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","1","0.3","0.3","0","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","146","7462.95964330002","596","331","126","2943","3","117","117","29","7","2616"
"1","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","1","0.3","0.3","0","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","149","4350.727264996","72","359","31","718","2","94","94","55","18","359"
"28","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","2","0.3","0.3","0.018","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","90","7462.967765828007","899","381","1628","5181","2","69","69","21","3","4811"
"27","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","2","0.3","0.3","0.018","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","98","5160.347558996006","90","378","230","876","3","68","68","30","18","498"
"10","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","1","0.3","0.3","0.006","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","135","7462.961704272001","688","313","233","2902","7","109","109","26","3","2593"
"18","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","1","0.3","0.3","0.012","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","124","7462.944593640017","524","339","507","3062","5","95","95","29","4","2724"
"19","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","2","0.3","0.3","0.012","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","127","5428.494978628005","117","336","123","864","4","85","85","42","9","531"
"20","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","2","0.3","0.3","0.012","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","115","7462.98838612801","917","350","1022","5275","6","91","91","24","3","4933"
"9","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","1","0.3","0.3","0.006","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","133","4362.141222320003","124","362","40","724","1","79","79","54","14","362"
"3","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","2","0.3","0.3","0","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","152","5568.18880329601","97","360","61","903","7","100","100","52","13","544"
"22","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","6","0.3","0.3","0.012","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","122","7462.977783824006","2002","358","1953","11332","8","96","96","26","2","10999"
"12","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","2","0.3","0.3","0.006","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","133","7462.963480476011","896","325","522","5076","5","117","117","16","4","4763"
"17","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","1","0.3","0.3","0.012","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","106","3970.728201528005","95","357","101","657","9","57","57","49","12","301"
"11","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","2","0.3","0.3","0.006","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","139","5202.013717660003","120","330","54","852","1","94","94","45","19","523"
"4","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","2","0.3","0.3","0","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","135","7462.947830848012","1295","338","238","5015","7","107","107","28","1","4679"
"13","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","6","0.3","0.3","0.006","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","147","7462.819745480002","217","323","116","1441","5","108","108","39","9","1121"
"14","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","6","0.3","0.3","0.006","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","128","7462.953602304013","2504","324","932","11073","8","108","108","20","0","10763"
