"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayMemory"
"06/10/2020 21:56:16:729 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding"
"25","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","76","8078.075207391992"
"17","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","70","8243.000731584001"
"9","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","68","8489.196087735989"
"27","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","69","9025.496488823983"
"26","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","65","10658.978573339966"
"19","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","66","9427.379754479978"
"20","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","68","10658.938291088009"
"18","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","73","10658.979025139975"
"11","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","76","9008.16335384399"
"3","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","78","9330.166861315978"
"4","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","87","10658.976335251982"
"21","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","72","10495.355274747972"
"1","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","92","8454.92630204399"
"10","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","73","10658.99305179596"
"28","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","58","10658.979885479974"
"12","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","81","10658.984348939986"
"2","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","94","10658.941144571967"
"13","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","73","10658.163320567957"
"22","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","72","10658.96515608401"
"14","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","68","10658.987410759992"
