"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"enoughCap"
"06/10/2020 21:52:46:314 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"10","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","106","78575.30842084797","10659","1701","672","0","5","1024","0","801","0","0","0","106","0","902","0"
"20","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","116","81152.1211592322","10659","1747","640","0","0","1107","0","804","0","0","0","116","0","946","0"
"17","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","106","77696.65016135215","10659","1680","732","0","6","942","0","782","0","0","0","106","0","900","0"
"26","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","117","81773.20132422417","10659","1767","621","0","4","1142","0","809","0","0","0","117","0","965","0"
"6","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","108","80418.18348015609","10659","1727","747","0","5","975","0","861","0","0","0","108","0","871","0"
"14","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","119","81240.7415870481","10659","1752","634","0","3","1115","0","803","0","0","0","119","0","953","0"
"4","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","114","77494.26559083603","10659","1679","607","0","6","1066","0","830","0","0","0","114","0","853","0"
"21","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","130","78163.0662181201","10659","1682","594","0","1","1087","0","796","0","0","0","130","0","889","0"
"2","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","116","75098.83622068411","10659","1620","627","0","4","989","0","787","0","0","0","116","0","838","0"
"12","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","110","75840.35662069626","10659","1638","630","0","6","1002","0","775","0","0","0","110","0","869","0"
"9","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","111","78497.96793804014","10659","1693","609","0","6","1078","0","802","0","0","0","111","0","897","0"
"13","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","109","77920.86259870809","10659","1687","696","0","5","986","0","791","0","0","0","109","0","898","0"
"8","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","119","76153.62915985208","10659","1640","571","0","3","1066","0","796","0","0","0","119","0","850","0"
"28","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","117","76742.64547881215","10659","1651","662","0","3","986","0","756","0","0","0","117","0","897","0"
"5","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","114","79393.59821916008","10659","1706","625","0","4","1077","0","777","0","0","0","114","0","933","0"
