"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChance"
"03/12/2020 18:45:05:697 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","randomChance","startingFund","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"1","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","30","2140.7225806640004","0","365","0","366","0","0","0","30","0","1"
"23","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","38","2206.118472128","0","346","0","346","0","0","0","38","0","0"
"12","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","37","2389.548715440001","0","393","0","393","0","0","0","37","0","0"
"13","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","55","7462.982156944006","0","373","0","19781","0","0","0","55","0","19446"
"11","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","1","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","57","7462.954885836001","0","326","0","194062","0","0","0","57","0","194057"
"22","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","1","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","65","7462.943940000008","0","338","0","194707","0","0","0","65","0","194705"
"2","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","65","7462.950823136007","0","369","0","20075","0","0","0","65","0","19749"
"24","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","59","7462.976138336012","0","341","0","19916","0","0","0","59","0","19610"
"10","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.9","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","69","7462.9747791560085","0","362","0","175003","0","0","0","69","0","174960"
"14","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.2","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","63","7462.997068028006","0","372","0","39368","0","0","0","63","0","39064"
"3","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.2","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","62","7462.949941040022","0","378","0","39486","0","0","0","62","0","39189"
"21","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.9","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","63","7462.967782164009","0","353","0","175412","0","0","0","63","0","175382"
"9","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.8","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","64","7462.936590771998","0","288","0","155798","0","0","0","64","0","155744"
"19","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.7","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","71","7462.996639532007","0","293","0","136528","0","0","0","71","0","136436"
"6","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.5","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","73","7462.955767648004","0","351","0","97388","0","0","0","73","0","97200"
