"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChance"
"02/16/2020 00:28:45:655 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"2","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","45","1581.7347056185224","193","238","1807","2080","1","36","36","9","2"
"22","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","56","1363.700157757561","201","216","1731","2014","1","45","45","11","7"
"11","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","28","3219.15703960017","486","303","2720","3392","103","27","27","1","0"
"19","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","28","4797.099519454277","855","291","6111","7056","16","25","25","3","2"
"1","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","35","2767.6071276872417","487","272","2791","3495","129","31","31","4","0"
"14","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","37","2890.300895106221","431","264","2924","3453","10","31","31","6","2"
"24","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","30","3088.8949477137403","483","283","3122","3694","4","23","23","7","1"
"8","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","43","4693.439151022505","779","269","5055","5936","11","38","38","5","0"
"26","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","38","3384.79317861382","599","256","4078","4758","5","32","32","6","1"
"3","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","28","2817.9709731804587","424","304","2469","2990","5","25","25","3","1"
"12","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","36","1746.6271672323603","281","252","1971","2336","11","29","29","7","3"
"4","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","29","2375.830914991292","408","277","3226","3727","23","27","27","2","2"
"21","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","26","3748.518909690754","550","281","2764","3504","105","25","25","1","2"
"28","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","44","3516.0026908671894","637","294","5112","5836","2","40","40","4","1"
"7","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","41","3149.9024143604524","560","257","4595","5237","1","33","33","8","0"
"27","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","42","3759.287176728176","733","234","4364","5174","1","34","34","8","3"
"15","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","41","3018.967893018729","536","271","3347","3975","3","34","34","7","2"
"20","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","37","4814.762648299488","943","274","6199","7231","2","30","30","7","2"
"25","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","29","2903.83422989589","517","263","3684","4305","28","26","26","3","0"
"9","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","45","4610.787574773895","823","233","5414","6315","2","32","32","13","1"
"16","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","57","2026.9128463021832","405","247","3817","4309","3","45","45","12","2"
"17","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","64","2646.4315259064633","527","190","3904","4516","7","48","48","16","2"
"23","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","37","2034.5382044526584","350","251","2475","2919","9","31","31","6","3"
"13","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","23","2414.7550485881134","403","314","2617","3132","29","20","20","3","2"
"18","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","32","4193.014883068899","762","279","5391","6232","8","27","27","5","0"
"10","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","33","6728.1592554125955","1105","294","6155","7399","45","31","31","2","0"
"5","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","32","3414.557683892876","555","281","3778","4433","10","31","31","1","3"
"6","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","28","2934.349623625416","528","264","4321","4990","66","23","23","5","1"
"31","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","38","2623.76267041539","470","272","2704","3368","112","34","34","4","1"
"32","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","23","2301.618254995804","311","292","1900","2347","60","23","23","0","3"
"30","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","31","5921.681119180752","1006","287","6529","7624","4","27","27","4","1"
"33","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","30","2599.6407224092195","385","284","2499","2971","7","27","27","3","2"
"38","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","46","4330.463560450944","765","269","5001","5879","24","38","38","8","0"
"46","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","52","2482.3811908077355","539","238","3669","4301","9","40","40","12","1"
"36","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","42","2657.0675603866603","495","229","4006","4623","36","37","37","5","1"
"35","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","44","2940.321822268596","526","284","3390","4019","2","38","38","6","0"
"40","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","35","5145.782286920416","1022","260","6249","7371","14","30","30","5","0"
"44","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","42","2030.0941950942631","383","268","2935","3406","14","32","32","10","1"
"34","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","36","2449.6155300752976","447","274","2891","3434","5","30","30","6","1"
"29","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","42","4433.342807584798","786","267","5537","6453","46","33","33","9","0"
"43","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","36","1659.3809305042828","279","250","2415","2786","23","28","28","8","2"
"41","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","41","2773.195550807681","427","261","2539","3164","110","35","35","6","0"
"42","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","35","1858.2144475244434","240","267","1955","2272","12","25","25","10","5"
"37","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","42","2904.683173295403","615","263","4576","5294","13","38","38","4","1"
"45","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","32","2308.133567179084","427","267","3743","4240","3","28","28","4","2"
"39","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","37","4246.361652530873","705","276","5899","6699","13","34","34","3","1"
"52","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","45","1338.4713799053914","211","255","1890","2182","12","37","37","8","2"
"49","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","29","4268.535805629563","844","285","6138","7064","6","25","25","4","1"
"51","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","52","2115.3642864172225","367","198","3123","3657","87","42","42","10","1"
"47","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","33","4358.069188385665","747","286","4679","5543","21","30","30","3","2"
