"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChance2"
"06/10/2020 21:29:52:106 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"2","0.52","4","10","0.3","4","4","1000","1","0.02","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","10658.972204639967","0.027795360008200376","2965","1460","251","15","1106","105","801","8","28","28","15","0","2173","20"
"11","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10657.87605189596","1.123948104030839","1874","831","113","5","810","96","804","10","19","19","25","0","1078","9"
"21","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","61","10658.931550659967","0.06844934003571179","1887","681","89","4","1022","61","785","6","30","30","31","0","1111","24"
"1","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","55","10658.956997795969","0.04300220402257082","1915","810","37","6","991","41","799","9","30","30","25","0","1123","21"
"4","0.52","4","10","0.3","4","4","1000","1","0.04","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10658.937979499973","0.06202050001144732","5050","2749","250","13","1972","36","799","4","30","30","14","0","4288","26"
"12","0.52","4","10","0.3","4","4","1000","1","0.02","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10658.97371724796","0.026282752020008626","2937","1372","269","5","1145","121","789","4","25","25","19","0","2165","21"
"26","0.52","4","10","0.3","4","4","1000","1","0.06","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","48","10658.97920788798","0.02079211201299902","7372","3434","711","18","3073","104","814","1","32","32","16","0","6619","31"
"5","0.52","4","10","0.3","4","4","1000","1","0.05","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10658.965038095968","0.03496190400355603","6175","3277","439","8","2366","54","847","0","31","31","13","0","5373","31"
"13","0.52","4","10","0.3","4","4","1000","1","0.03","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","10658.955293235964","0.044706764014907474","3971","1865","322","14","1641","93","801","4","36","36","10","0","3198","32"
"23","0.52","4","10","0.3","4","4","1000","1","0.03","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","64","10658.940200295954","0.05979970401587131","4018","1573","110","5","2264","31","815","2","35","35","29","0","3221","33"
"22","0.52","4","10","0.3","4","4","1000","1","0.02","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.970617371968","0.029382628020615975","2971","1425","88","11","1386","30","792","1","31","31","18","0","2200","30"
"27","0.52","4","10","0.3","4","4","1000","1","0.07","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","56","10658.93684471998","0.06315528000543225","8293","3914","200","10","4103","35","761","2","31","31","25","0","7579","29"
