"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChanceBase"
"06/10/2020 23:18:52:932 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"6","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","5675.524627892","4983.475372108032","836","265","13","2","489","54","792","13","13","13","34","0","44","0"
"5","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","5918.966381620001","4740.033618380028","881","314","39","1","421","98","826","8","8","8","34","0","55","0"
"2","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","5513.057121016","5145.942878984028","834","278","28","3","450","64","787","11","11","11","36","0","47","0"
"3","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","5552.780982927993","5106.219017072043","871","336","40","6","382","96","817","10","11","11","29","0","54","1"
"4","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5898.229341444007","4760.77065855602","882","319","14","4","467","68","827","9","10","10","36","0","56","1"
"7","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","5679.243881776001","4979.756118224015","857","320","33","9","374","106","797","14","15","15","27","0","60","1"
"8","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","5529.282751735996","5129.717248264023","857","333","28","4","400","83","804","9","9","9","31","0","53","0"
"1","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","5838.815717591995","4820.184282408052","898","352","7","7","468","52","856","12","12","12","31","0","42","0"
"9","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5374.389033584004","5284.61096641605","827","277","38","2","412","83","776","13","15","15","30","0","52","2"
"11","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","37","5591.642534704","5067.357465296018","847","331","34","0","382","93","800","6","7","7","30","0","47","1"
"10","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","5703.949357660003","4955.050642340031","874","209","51","7","487","109","824","10","11","11","36","0","50","1"
"13","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","54","5521.088737212006","5137.911262788025","840","254","17","9","487","67","789","6","6","6","48","0","51","0"
"12","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","32","5446.453382264004","5212.546617736027","804","315","49","4","318","107","762","11","11","11","21","0","42","0"
"15","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","52","5682.903970063999","4976.096029936029","845","217","13","3","538","62","808","12","12","12","40","0","37","0"
"14","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5630.337939251999","5028.66206074803","856","309","21","4","444","65","806","11","13","13","33","0","50","2"
"17","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","6014.812931756003","4644.187068244017","896","349","12","4","466","57","844","8","8","8","38","0","52","0"
"18","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","5692.380570383997","4966.619429616041","876","297","13","3","488","67","818","8","8","8","39","0","58","0"
"19","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","5800.184011180003","4858.815988820028","874","318","18","5","436","85","821","10","12","12","35","0","53","2"
