"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 23:18:36:796 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","reduceWindows","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","9","true","false","true","true","true","false","true","true","999","50","5299.990321940002","0.009678059992963561","42","255","916","1041","3","43","43","7","6"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","true","999","61","4397.669947987999","902.330052012004","34","213","674","794","0","47","47","14","8"
"24","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","true","999","40","3044.226106663999","2255.773893335999","22","259","478","574","0","22","22","18","7"
"16","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","9","true","false","true","true","true","false","true","false","999","63","4878.492958200004","421.5070417999959","45","190","750","882","3","52","52","11","7"
"13","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","false","999","42","3380.3199021320024","1919.6800978679985","28","240","495","597","5","29","29","13","9"
"26","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","true","999","49","4548.705646940004","751.2943530599957","42","241","730","843","3","41","41","8","7"
"8","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","7","9","true","false","true","true","true","false","true","true","999","60","5299.963770996002","0.03622900399350959","59","217","1212","1372","4","54","54","6","5"
"21","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","9","true","false","true","true","true","false","true","false","999","70","5299.960490728005","0.03950927199873977","81","186","1376","1538","2","53","53","17","4"
"25","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","true","999","47","4182.299406152","1117.700593847992","22","247","636","739","3","40","40","7","13"
"10","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","9","true","false","true","true","true","false","true","true","999","56","5299.979735304005","0.020264695997246562","64","215","1521","1673","7","51","51","5","4"
"6","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","5","9","true","false","true","true","true","false","true","true","999","66","5298.794408900004","1.2055910999973474","39","209","827","960","0","56","56","10","7"
"1","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","true","999","25","2927.2700985520005","2372.7299014479977","22","296","384","483","14","22","22","3","10"
"28","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","5","9","true","false","true","true","true","false","true","true","999","52","5299.916612972006","0.0833870280036626","56","212","959","1096","3","42","42","10","6"
"9","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","true","999","56","5299.826571127998","0.17342887198795154","92","234","1365","1546","6","47","47","9","11"
"22","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","10","9","true","false","true","true","true","false","true","false","999","53","5299.978614160011","0.021385839988888655","95","209","1666","1844","5","48","48","5","7"
"2","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","true","999","59","3106.888429927999","2193.1115700719943","16","238","482","575","0","43","43","16","22"
"11","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","10","9","true","false","true","true","true","false","true","true","999","68","5299.891332188001","0.1086678119962734","74","185","1427","1585","1","60","60","8","9"
"7","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","true","999","56","5299.959268504003","0.0407314959964693","47","227","1181","1322","4","50","50","6","7"
"12","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","false","999","26","2399.035264348001","2900.964735652006","11","299","371","447","0","15","15","11","9"
"19","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","7","9","true","false","true","true","true","false","true","false","999","50","5299.881041251997","0.11895874800968453","79","251","1256","1413","2","44","44","6","3"
"27","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","9","true","false","true","true","true","false","true","true","999","61","5299.637176551994","0.3628234480030432","46","240","839","981","3","51","51","10","13"
"23","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","true","999","45","2250.451237788001","3049.548762212","19","255","299","405","4","34","34","11","17"
"17","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","5","9","true","false","true","true","true","false","true","false","999","49","5299.688267787999","0.31173221199510426","69","251","971","1128","1","47","47","2","13"
"18","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","false","999","60","5299.737509232002","0.2624907679974795","68","219","1064","1218","0","49","49","11","4"
"3","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","true","999","49","3790.229968296001","1509.770031704004","24","236","580","681","7","36","36","13","11"
"15","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","false","999","45","5251.099082303997","48.90091769600063","46","249","778","918","7","40","40","5","10"
"20","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","false","999","62","5299.729585140017","0.27041485999409076","67","228","1312","1470","1","49","49","13","4"
"14","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","false","999","47","3797.290057784007","1502.7099422159924","32","249","595","708","2","38","38","9","12"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","7","9","true","false","true","true","true","false","true","true","999","63","5299.984395616005","0.015604384000323712","62","206","1166","1322","4","53","53","10","8"
"29","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","true","999","60","5299.9565653000045","0.043434699992539016","81","237","1055","1218","1","54","54","6","9"
"31","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","true","999","49","5299.983321679997","0.016678319998562507","85","238","1488","1661","16","45","45","4","3"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","false","999","55","3996.3715065480014","1303.6284934520027","30","247","588","709","2","50","50","5","13"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","false","999","62","5299.895602519995","0.10439747999246096","51","226","1050","1175","5","48","48","14","9"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","false","999","49","3174.6238035760016","2125.37619642399","29","261","470","590","6","37","37","12","10"
