"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 17:54:36:893 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"22","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","2.01","true","false","true","true","true","false","true","false","1000","78","4999.951486683994","0.04851331599686137","245","156","3319","3658","1","68","68","10","2"
"10","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","1.01","true","false","true","true","true","false","true","false","1000","61","4499.954583508008","0.04541649199378561","161","198","2662","2917","2","56","56","5","2"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","0.01","true","false","true","true","true","false","true","false","1000","59","4999.975179036002","0.02482096400097067","105","231","1513","1715","6","51","51","8","6"
"13","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","1.01","true","false","true","true","true","false","true","false","1000","69","4999.939243723999","0.06075627598662514","139","184","2442","2677","1","66","66","3","0"
"19","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","2.01","true","false","true","true","true","false","true","false","1000","77","4499.951295228","0.048704771995524254","239","152","3392","3708","3","58","58","19","0"
"7","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","0.01","true","false","true","true","true","false","true","false","1000","60","5499.97127346001","0.02872653999096908","68","196","1485","1637","5","48","48","12","4"
"25","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","2.01","true","false","true","true","true","false","true","false","1000","83","5499.976722484003","0.02327751599332384","228","143","3114","3439","3","70","70","13","2"
"16","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","1.01","true","false","true","true","true","false","true","false","1000","63","5499.949434164006","0.05056583599934683","188","192","2606","2889","6","57","57","6","3"
"28","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","3.01","true","false","true","true","true","false","true","false","1000","68","4499.985523968005","0.014476031994250516","342","206","4740","5169","11","57","57","11","2"
"1","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","0.01","true","false","true","true","true","false","true","false","1000","67","4499.995250979996","0.004749020002468907","92","195","1339","1520","3","58","58","9","8"
"8","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","0.01","true","false","true","true","true","false","true","false","1000","64","5499.964681672003","0.03531832799438828","111","219","1410","1619","4","60","60","4","11"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","0.01","true","false","true","true","true","false","true","false","1000","71","4999.976700040006","0.023299959988642094","82","185","1362","1538","3","59","59","12","5"
