"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"lowerDecay"
"02/14/2020 22:34:44:268 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"10","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","44","1397","249","8373","9859","5","36","36","8","3"
"21","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","62","3689","233","4954","8806","3","51","51","11","2"
"13","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","81","7414","208","365","8013","19","78","78","3","2"
"7","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","98","6492","193","241","6954","11","82","82","16","0"
"5","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","37","248","260","10300","10611","22","32","32","5","1"
"14","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","100","4543","156","2280","7054","45","85","85","15","1"
"6","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","22","176","313","11093","11309","14","17","17","5","1"
"17","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","31","308","282","10490","10851","12","19","19","12","0"
"1","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","95","6651","182","274","7128","15","75","75","20","1"
"22","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","54","968","216","8488","9554","14","42","42","12","0"
"16","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","38","1348","274","8939","10377","7","31","31","7","1"
"19","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","111","5503","158","481","6197","6","90","90","21","0"
"18","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","26","77","259","10947","11052","9","17","17","9","1"
"24","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","24","82","299","11083","11193","4","16","16","8","0"
"12","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","16","134","327","11549","11740","34","16","16","0","1"
"11","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","29","272","300","10713","11044","23","22","22","7","0"
"20","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","73","6231","223","2063","8518","23","65","65","8","1"
"28","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","42","1482","265","8664","10247","16","34","34","8","2"
"15","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","42","4039","277","5938","10204","70","38","38","4","1"
"25","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","103","5940","176","259","6434","19","85","85","18","2"
"26","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","88","5842","223","1713","7793","16","74","74","14","0"
"2","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","63","6678","244","2398","9307","22","55","55","8","0"
"4","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","28","1464","279","9579","11146","27","28","28","0","1"
"23","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","24","269","331","11016","11336","18","20","20","4","0"
"9","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","53","3639","224","5741","9545","15","49","49","4","0"
"3","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","54","4058","238","5224","9441","5","47","47","7","1"
"8","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","76","6255","213","1899","8374","16","64","64","12","0"
"27","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","52","4400","236","5299","9936","66","48","48","4","0"
"36","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","19","112","301","11553","11684","2","12","12","7","0"
"31","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","101","5934","167","349","6488","7","83","83","18","0"
"32","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","84","5022","162","2459","7677","14","70","70","14","1"
"35","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","20","288","295","11111","11458","26","17","17","3","0"
"39","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","63","3487","216","5264","8946","55","53","53","10","0"
"30","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","25","119","315","11170","11311","2","13","13","12","0"
"37","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","92","6879","204","282","7386","15","74","74","18","0"
"40","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","49","1066","245","8534","9735","63","40","40","9","0"
"29","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","22","274","299","11122","11450","24","20","20","2","0"
"38","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","90","5133","179","2222","7548","7","77","77","13","1"
"43","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","88","6832","245","324","7448","27","81","81","7","0"
"47","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","30","455","298","10321","10838","7","24","24","6","1"
"44","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","83","5443","199","2298","7929","10","67","67","16","1"
"33","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","52","4166","230","5214","9558","22","46","46","6","0"
"48","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","17","114","300","11415","11559","11","13","13","4","1"
"34","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","26","1463","270","9733","11358","90","26","26","0","0"
"51","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","61","3828","259","5298","9374","72","51","51","10","0"
"49","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","104","5873","158","388","6453","8","83","83","21","1"
"46","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","30","1352","262","9516","10953","7","26","26","4","0"
"52","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","53","1079","230","8331","9507","0","43","43","10","0"
"45","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","53","3837","213","5608","9641","27","52","52","1","0"
"41","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","19","287","323","11459","11808","32","19","19","0","0"
"42","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","22","92","287","11174","11288","4","13","13","9","0"
"53","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","22","422","336","10847","11311","6","17","17","5","3"
"54","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","25","111","298","10937","11074","2","16","16","9","0"
"50","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","67","6368","217","2278","8860","16","56","56","11","0"
"56","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","78","6021","224","1991","8260","30","71","71","7","2"
"55","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","57","8662","243","447","9359","24","55","55","2","0"
"57","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","1001","55","3862","241","5438","9476","18","51","51","4","1"
"59","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","1001","24","381","293","10884","11328","23","21","21","3","1"
"64","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","1001","56","877","243","8376","9353","9","47","47","9","1"
"61","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","false","true","true","true","1001","104","5882","174","309","6428","19","89","89","15","0"
"60","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.05","true","false","true","true","true","1001","25","143","289","10902","11078","7","19","19","6","1"
"62","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","93","5060","181","1890","7167","19","77","77","16","1"
"68","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","1001","71","6639","248","1918","8811","41","64","64","7","1"
