BehaviorSpace results (NetLogo 6.0.2),,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation_ABM_update2020.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,
adaptation,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2020 22:47:55:836 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,
[run number],meanRiskThreshold,scanningRange,badImpact,numWindows,impactReductionRate,maxCopingReduction,adaptationCost,capBoost,simTicks,minNeighbor,officeRole,changeAspiration,EWProbDecay,b1,[step],count orgs with [coping-change?],count orgs with [adaptation-change?],totalInsufBoost,totalDisasterWindows,totalwindowMissed,totalWindowOpen,totalNoSolution,totalUtilizedWindows,totalNeededWidows,sufficientCap,totalUtilizedDisasterWindows
20,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.3,1001,169,22,142,343,6,343,34,8,8,14,8
10,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0,1001,165,22,136,349,9,349,36,12,12,10,12
12,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.3,1001,158,39,147,332,11,332,2,15,15,24,15
14,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.3,1001,148,22,129,305,9,305,18,12,12,10,12
21,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.6,1001,154,30,147,303,11,303,8,12,12,18,12
16,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.3,1001,162,16,130,348,12,348,53,8,8,8,8
5,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0,1001,165,17,141,319,8,319,12,9,9,8,9
13,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.3,1001,153,30,121,300,7,300,8,11,11,19,11
17,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.3,1001,163,21,153,341,9,341,40,7,7,14,7
18,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.3,1001,159,21,129,303,7,303,21,8,8,13,8
25,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.6,1001,158,39,115,266,4,266,8,17,17,22,17
22,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.6,1001,163,24,117,261,2,261,14,14,14,10,14
27,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0.6,1001,160,20,157,346,12,346,14,9,9,11,9
2,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0,1001,159,13,124,335,5,335,74,8,8,5,8
9,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0,1001,158,21,101,278,8,278,19,7,7,14,7
4,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,0,1001,163,28,122,279,22,279,16,10,10,18,10
