"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"noDecay"
"05/17/2020 16:36:21:181 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"5","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","129","7344.110555556003","283","359","49","1204","4","87","87","42","13","848"
"4","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","132","7327.217882679996","317","341","61","1250","5","94","94","38","9","910"
"7","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","149","7540.706470732006","235","373","65","1236","5","93","93","56","13","866"
"1","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","111","7214.114574967991","395","342","68","1204","10","83","83","28","8","863"
"8","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","127","7107.263783191999","280","331","87","1201","5","90","90","37","9","872"
"3","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","140","7496.137378976013","282","345","62","1225","2","92","92","48","14","884"
"6","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","134","7786.860887987992","297","313","86","1248","4","92","92","42","9","937"
"2","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","131","7517.604836932016","281","333","81","1209","3","91","91","40","16","877"
"9","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","143","7421.120088360008","256","331","58","1220","6","99","99","44","8","891"
"10","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","121","7591.435860572001","339","349","93","1276","7","95","95","26","10","930"
"11","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","141","8095.943382635993","241","361","92","1311","2","83","83","58","5","954"
"12","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","131","7570.918851635994","312","340","52","1219","3","97","97","34","15","880"
"17","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","145","7396.968192944021","233","386","78","1242","5","94","94","51","8","857"
"18","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","129","7514.530242704017","348","334","47","1257","4","92","92","37","5","925"
"14","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","134","7341.818929508002","271","339","59","1223","6","89","89","45","13","885"
"13","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","138","7264.635900764009","281","319","56","1207","5","107","107","31","8","889"
"15","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","126","7508.632037192003","311","330","81","1204","9","76","76","50","9","874"
"16","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","116","7572.222753052005","369","359","66","1248","6","85","85","31","14","889"
"19","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","141","7597.788392664008","281","345","73","1233","3","101","101","40","13","891"
"21","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","145","7755.876247244","316","327","65","1268","6","103","103","42","5","943"
"22","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","145","7579.630377584007","243","342","56","1251","4","99","99","46","8","909"
"27","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","130","8040.1791805000075","279","339","91","1273","0","86","86","44","10","935"
"23","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","123","7173.767180328003","382","354","68","1215","13","85","85","38","11","862"
"26","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","138","7203.533652084005","244","296","77","1146","4","86","86","52","12","851"
"25","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","118","7410.437106136017","373","348","53","1214","6","90","90","28","5","868"
"20","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","""allRandom""","false","1000","127","7715.279137924003","343","347","75","1268","5","86","86","41","17","922"
