"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"nonRandomWindow"
"02/18/2020 19:37:20:702 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","75","5320.984995352009","0.01500464799528789","187","202","2426","2705","2","57","57","18","6"
"8","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","64","5320.951912011997","0.048087988005179216","186","204","2667","2939","5","53","53","11","5"
"7","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","70","5320.992559023997","0.007440975997512922","176","221","2578","2855","9","63","63","7","5"
"3","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.950480648007","0.04951935199826529","157","194","2493","2753","5","66","66","5","2"
"2","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","64","5320.937324704005","0.06267529599647226","196","217","2662","2956","7","58","58","6","2"
"6","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.977441283996","0.022558715997325063","262","195","2446","2797","4","54","54","15","4"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","66","5320.994232796007","0.0057672040042975325","195","213","2626","2916","8","57","57","9","0"
"1","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","80","5320.953156060013","0.046843939995577344","243","184","2315","2662","0","65","65","15","2"
"9","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.991026568006","0.008973431996566639","225","195","2418","2735","4","61","61","8","3"
"10","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.9957387239965","0.004261275999807079","154","200","2598","2854","8","65","65","4","4"
"11","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","72","5320.943690216002","0.056309783995692086","204","178","2467","2771","9","61","61","11","2"
"12","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.999128628004","8.713719966451094E-4","166","183","2495","2751","2","60","60","11","2"
"13","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","77","5320.9428654080075","0.057134592002906714","166","184","2316","2587","3","67","67","10","2"
"14","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","73","5320.987635736002","0.012364263999841807","205","196","2383","2681","2","58","58","15","4"
"15","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","63","5320.9428204880005","0.05717951199917959","178","217","2679","2927","1","44","44","19","3"
"16","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.961161231998","0.038838768000486024","177","184","2403","2663","0","60","60","9","5"
"17","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","68","5320.9855468040005","0.0144531959973353","146","187","2532","2768","3","59","59","9","1"
"18","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","67","5320.99764122801","0.0023587719965334486","209","197","2421","2733","7","64","64","3","4"
"19","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","76","5320.973364488005","0.02663551199057279","193","176","2333","2620","4","69","69","7","4"
"20","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","66","5320.973437067993","0.026562932002649475","211","202","2609","2914","2","57","57","9","4"
"21","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","66","5320.939712472","0.060287528000609214","139","213","2650","2872","5","53","53","13","1"
"22","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.9620568720065","0.03794312799703636","113","181","2607","2801","8","57","57","14","3"
"23","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.953172888001","0.04682711199572154","246","184","2478","2812","0","54","54","17","2"
"25","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","59","5320.976748859998","0.02325113999614592","223","217","2623","2941","3","53","53","6","1"
"26","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","61","5320.971732144","0.028267856004707603","208","199","2583","2899","16","60","60","1","4"
"24","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","65","5320.997623256002","0.0023767439977420146","204","183","2610","2894","3","55","55","10","7"
"27","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","70","5320.984265260006","0.015734739986816848","234","192","2419","2770","8","68","68","2","4"
"28","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","78","5320.996112484003","0.0038875159950615412","130","177","2347","2581","8","71","71","7","3"
"29","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","72","5320.993651248005","0.006348751995731483","185","179","2395","2675","4","61","61","11","5"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","67","5320.964798412012","0.035201587998491934","176","199","2589","2861","5","55","55","12","0"
"31","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","75","5320.985186575999","0.014813423993699892","152","192","2526","2770","4","61","61","14","3"
"32","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","64","5320.989334647993","0.010665351999623596","199","204","2543","2829","3","55","55","9","5"
"33","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","65","5320.960646888007","0.03935311200079905","232","202","2561","2877","0","60","60","5","5"
"34","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.961695688014","0.03830431200255102","155","191","2544","2797","4","64","64","7","3"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","78","5320.939610768009","0.0603892319993351","138","187","2450","2680","3","57","57","21","3"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.945125011999","0.05487498799400736","144","181","2577","2808","5","62","62","7","5"
"37","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.9778858799955","0.0221141199988093","169","198","2518","2794","5","67","67","2","3"
"38","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","62","5320.964251088009","0.035748911993646715","227","212","2575","2898","3","56","56","6","2"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","67","5320.994304148","0.005695851994463652","149","212","2641","2880","8","57","57","10","1"
"41","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","66","5320.965302932016","0.03469706800040395","180","156","2614","2886","4","57","57","9","2"
"39","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","65","5320.994147728007","0.0058522719895277575","178","238","2604","2871","0","56","56","9","3"
"43","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","70","5320.970711732007","0.029288267993007544","192","185","2509","2798","6","61","61","9","1"
"42","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.999961903997","3.809599391502161E-5","194","192","2428","2738","12","64","64","7","4"
"44","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","79","5320.996211339999","0.0037886600024212846","105","198","2388","2588","1","67","67","12","5"
"45","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","64","5320.965418292002","0.03458170799557525","228","194","2555","2867","1","56","56","8","3"
"46","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","72","5320.940372436012","0.05962756400509317","231","202","2480","2821","2","66","66","6","1"
"47","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","78","5320.99940748401","5.925159975177507E-4","151","160","2315","2567","3","70","70","8","4"
"48","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","60","5320.969301544009","0.03069845599126353","173","218","2772","3028","3","54","54","6","2"
"49","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","73","5320.971169976012","0.02883002399732959","206","183","2510","2822","2","68","68","5","4"
"50","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","82","5320.978292164001","0.021707835996708447","194","194","2317","2621","4","73","73","9","8"
"51","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.949754284002","0.050245715995497875","152","176","2588","2821","1","56","56","13","2"
"52","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","74","5320.993518912009","0.006481087987551426","139","171","2449","2682","9","61","61","13","2"
"55","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","68","5320.975399396002","0.02460060399808217","96","206","2614","2798","4","61","61","7","5"
"53","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","65","5320.984678595994","0.01532140399732107","204","194","2651","2940","3","59","59","6","1"
"56","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","74","5320.999677380005","3.2261999686866716E-4","152","195","2481","2737","1","68","68","6","5"
"54","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","68","5320.940258419995","0.05974157999672114","173","208","2651","2932","16","58","58","10","2"
"57","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","77","5320.962111220003","0.0378887799957055","152","158","2344","2586","2","66","66","11","3"
"58","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","72","5320.939532296006","0.06046770399453605","136","201","2585","2812","2","60","60","12","4"
"61","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","63","5320.986684188","0.013315811996113425","193","183","2614","2896","2","56","56","7","2"
"60","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","62","5320.96882516801","0.03117483199754556","226","228","2670","2987","4","52","52","10","2"
"63","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","77","5320.971548743996","0.02845125599647158","172","150","2339","2597","2","62","62","15","4"
"59","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","68","5320.961502487997","0.03849751199485274","126","183","2705","2916","2","56","56","12","4"
"62","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","79","5320.944041424006","0.05595857600362253","174","170","2313","2589","3","67","67","12","1"
"64","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.978505552002","0.021494448004064637","134","207","2523","2740","2","56","56","13","3"
"66","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","72","5320.978013760003","0.021986239995541723","288","204","2365","2754","3","65","65","7","2"
"65","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","63","5320.982725523998","0.01727447599618026","180","187","2601","2870","5","56","56","7","3"
"67","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","73","5320.976527924012","0.023472075989424468","164","174","2544","2812","10","67","67","6","6"
"69","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","73","5320.9890362320075","0.010963767999049079","179","189","2459","2736","7","66","66","7","2"
"68","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","72","5320.988178247999","0.01182175199429647","133","191","2474","2703","4","66","66","6","2"
"71","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","62","5320.962926960002","0.03707303999257139","220","215","2564","2873","3","52","52","10","1"
"72","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","68","5320.948108088005","0.0518919119904897","194","193","2631","2919","1","62","62","6","1"
"70","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","82","5320.968302132001","0.03169786799559837","86","151","2389","2564","2","66","66","16","2"
"73","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","69","5320.9765244479995","0.02347555199446738","119","170","2668","2879","4","62","62","7","2"
"75","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","73","5320.982094976003","0.017905023990331337","261","175","2432","2793","4","62","62","11","1"
"76","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","60","5320.953818715995","0.046181284002524414","246","207","2775","3111","5","51","51","9","1"
"74","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","72","5320.948426356006","0.05157364399648756","195","203","2510","2808","7","60","60","12","4"
"77","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","74","5320.970141948001","0.02985805199993541","124","201","2501","2714","3","60","60","14","4"
"78","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","60","5320.93650844799","0.06349155200243395","212","190","2711","3017","10","57","57","3","3"
"79","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","72","5320.954885944012","0.04511405599999563","192","173","2362","2649","5","65","65","7","4"
"81","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","68","5320.988898907996","0.011101091999080381","224","216","2489","2808","6","63","63","5","5"
"82","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","66","5320.997806716","0.002193283994134987","246","215","2526","2866","5","58","58","8","6"
"80","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","62","5320.992918012003","0.007081987994365324","263","226","2562","2919","5","52","52","10","4"
