"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"nonRandomWindow"
"02/20/2020 14:59:39:135 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","reduceWindows","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","46","5068.314250140004","252.6857498599894","59","227","781","925","6","40","40","6","8"
"7","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","57","4611.857271832003","709.142728168001","66","214","744","891","2","44","44","13","7"
"3","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","54","4954.984422736002","366.01557726399983","38","239","782","899","2","39","39","15","10"
"1","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","50","5320.3213129840005","0.6786870159964913","39","243","799","943","7","46","46","4","9"
"9","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","47","5320.577067968011","0.42293203199328744","63","255","883","1043","4","44","44","3","12"
"2","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","65","5320.956017652004","0.0439823480016468","124","210","1451","1672","7","56","56","9","6"
"8","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","55","5320.966727916016","0.03327208398829207","108","252","1617","1823","3","50","50","5","5"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","64","5320.9623290599975","0.03767094000126869","56","204","1559","1704","5","57","57","7","5"
"11","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","55","4602.674955032006","718.3250449679949","42","225","730","857","0","43","43","12","6"
"6","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","70","5320.963676392006","0.03632360799761436","89","191","1456","1629","2","61","61","9","8"
"13","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","65","4686.729693699998","634.2703062999999","33","245","734","879","4","52","52","13","16"
"15","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","56","5005.402016276002","315.59798372400326","36","229","798","920","1","49","49","7","12"
"17","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","50","4665.722074259999","655.2779257400011","44","243","769","899","2","38","38","12","8"
"10","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","43","5320.96313516801","0.036864832000155445","131","243","1704","1923","16","42","42","1","7"
"19","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","59","4786.292873644005","534.7071263559926","26","223","799","904","1","43","43","16","11"
"12","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","48","5320.973615252003","0.026384747988793755","155","259","1650","1903","6","48","48","0","1"
"14","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","56","5320.885946131997","0.11405386799792527","102","226","1611","1803","3","52","52","4","2"
"21","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","55","4526.632334331995","794.3676656680024","40","240","733","865","3","43","43","12","4"
"16","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","62","5320.957721467998","0.04227853199387521","109","209","1506","1707","3","60","60","2","14"
"23","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","45","5317.071944584007","3.9280554160029926","45","287","834","981","7","37","37","8","9"
"18","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","61","5320.949698019999","0.05030198000314323","56","180","1503","1644","4","56","56","5","4"
"25","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","54","5031.289578836002","289.7104211640046","55","248","740","884","3","44","44","10","10"
"27","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","56","4937.9640361080055","383.03596389199197","33","227","782","899","2","44","44","12","13"
