"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numOpts"
"06/07/2020 23:50:03:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalAlreadyAdapted","totalOrgOpts","totalUtilizedOrgOpt","totalNonEligibleDisasterOpt"
"22","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","38","11629.129255019943","12606","1846","63","14","1056","6","14","14","24","0","388","797","8","71"
"27","0.62","4","20","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","18112.54337729588","12606","3025","150","47","1097","5","28","28","15","0","534","1933","23","74"
"19","0.62","4","4","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","9134.364901727984","12606","1406","52","3","1090","8","13","13","27","0","386","317","5","140"
"12","0.62","4","22","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","51","19810.741149211986","12606","3253","64","7","1114","5","28","28","23","0","799","2151","23","51"
"2","0.62","4","2","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","7802.646086060003","12606","1202","44","1","1115","8","11","11","28","0","328","88","3","115"
"28","0.62","4","22","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","20603.27674644382","12606","3162","231","1","1145","5","28","28","16","0","727","2022","23","195"
"6","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","12760.67677474795","12606","1988","132","5","1129","5","17","17","28","0","590","867","12","128"
"7","0.62","4","12","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","46","14026.410480495924","12606","2205","115","9","1107","5","25","25","21","0","642","1103","20","89"
"3","0.62","4","4","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","9154.155983504003","12606","1396","36","3","1115","11","18","18","23","0","438","281","7","82"
"11","0.62","4","20","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","51","18342.777205747865","12606","2904","127","5","1074","9","27","27","24","0","739","1837","18","99"
"5","0.62","4","8","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","48","11305.599064567954","12606","1771","68","4","1076","9","20","20","28","0","455","699","11","99"
"9","0.62","4","16","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","37","16242.980815531893","12606","2583","155","7","1106","5","16","16","21","0","497","1481","11","81"
"1","0.62","4","0","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","6739.342432483997","12606","1015","51","1","1015","14","14","14","27","0","288","0","0","159"
"25","0.62","4","16","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","52","16049.464678851946","12606","2595","68","7","1119","8","26","26","26","0","843","1489","18","38"
"4","0.62","4","6","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","33","9820.048843667973","12606","1548","82","23","1079","6","15","15","18","0","348","471","9","129"
"26","0.62","4","18","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","16839.932290499895","12606","2752","206","24","1098","15","27","27","17","0","562","1657","12","139"
