"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numOpts"
"06/07/2020 23:21:52:934 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","minNeighbor","memory","disasterUti","EWProbDecay","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalAlreadyAdapted","totalOrgOpts","totalUtilizedOrgOpt","totalNonEligibleDisasterOpt"
"12","0.62","4","11","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","46","12864.09887037595","38217","2032","104","3","1071","10","24","24","22","0","498","965","14","60"
"7","0.62","4","6","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","45","9790.359513999992","38217","1546","41","3","1073","6","18","18","27","0","408","479","12","81"
"16","0.62","4","15","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","14993.847830395955","38217","2384","120","7","1093","4","24","24","19","0","534","1296","20","103"
"2","0.62","4","1","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","7325.436676080001","38217","1097","31","10","1097","13","13","13","28","0","339","0","0","132"
"13","0.62","4","12","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","34","13919.955360679969","38217","2186","140","6","1107","2","19","19","15","0","373","1086","17","107"
"23","0.62","4","22","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","19649.092816439912","38217","3097","208","4","1068","4","25","25","15","0","678","2039","21","68"
"17","0.62","4","16","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","45","15473.477771907941","38217","2478","114","28","1019","3","18","18","27","0","517","1469","15","69"
"5","0.62","4","4","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","45","8695.700365435992","38217","1352","64","6","1061","9","16","16","29","0","383","291","7","118"
"21","0.62","4","20","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","43","18564.07880246792","38217","2936","108","13","1121","3","24","24","19","0","592","1821","21","73"
"10","0.62","4","9","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","11917.564504279962","38217","1876","123","9","1076","8","18","18","18","0","419","804","10","127"
"1","0.62","4","0","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","7406.827224248","38217","1160","30","11","1160","16","16","16","26","0","318","0","0","118"
"18","0.62","4","17","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","15948.997084991928","38217","2585","104","7","1076","3","21","21","23","0","588","1514","18","59"
