"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"oneWindow"
"03/30/2020 12:01:46:976 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"6","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0.01","true","false","true","true","true","true","false","true","""oneWindow""","1000","94","3454.5408549440035","69","395","66","592","4","33","33","61","0","197"
"27","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""oneWindow""","1000","30","3355.1962796040034","19","362","415","559","4","9","9","21","6","197"
"24","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0.02","true","false","true","true","true","true","false","true","""oneWindow""","1000","76","3306.6466508000017","28","358","221","555","10","16","16","60","0","197"
"20","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0.01","true","false","true","true","true","true","false","true","""oneWindow""","1000","105","3309.5238132080044","60","335","68","532","0","31","31","74","0","197"
"16","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0","true","false","true","true","true","true","false","true","""oneWindow""","1000","129","3072.7928434240025","64","345","27","542","3","59","59","70","0","197"
"12","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0.025","true","false","true","true","true","true","false","true","""oneWindow""","1000","48","3344.735974256002","14","365","306","562","4","8","8","40","0","197"
"26","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0.025","true","false","true","true","true","true","false","true","""oneWindow""","1000","39","3284.0011215240047","23","327","297","524","3","7","7","32","0","197"
"3","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.005","true","false","true","true","true","true","false","true","""oneWindow""","1000","105","3329.942000356005","110","342","41","539","14","55","55","50","19","197"
"14","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0.03","true","false","true","true","true","true","false","true","""oneWindow""","1000","35","3409.0539332120015","10","372","406","569","8","2","2","33","0","197"
"25","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.025","true","false","true","true","true","true","false","true","""oneWindow""","1000","59","3078.264223224002","36","312","241","509","4","25","25","34","14","197"
"9","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","""oneWindow""","1000","75","3176.1516703839993","52","337","205","534","1","31","31","44","12","197"
"18","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0.005","true","false","true","true","true","true","false","true","""oneWindow""","1000","106","3517.6026376039986","79","369","28","566","5","43","43","63","0","197"
"28","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0","0.03","true","false","true","true","true","true","false","true","""oneWindow""","1000","35","3253.5573863960017","11","337","357","533","9","7","7","28","0","197"
"13","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""oneWindow""","1000","33","3103.905757464003","18","318","388","513","2","8","8","25","4","197"
"21","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.015","true","false","true","true","true","true","false","true","""oneWindow""","1000","87","3384.1884672640012","90","360","131","557","4","47","47","40","19","197"
