"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","run_id","run_duration"
"1",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,143,25,46,300,129,191,4,12,12,13,1,33.9799320697784
"2",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,118,36,28,261,122,170,0,20,20,16,3,23.2661955356598
"3",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,132,14,42,319,126,189,9,12,12,2,5,12.3171553611755
"4",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,143,33,46,275,133,191,0,12,12,21,7,9.49695420265198
"5",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,131,10,42,283,136,190,5,7,7,3,20,15.010484457016
"6",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,126,20,42,272,138,196,2,14,14,6,14,17.4867465496063
"7",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,132,19,36,263,123,169,0,10,10,9,8,13.6959953308105
"8",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,133,28,45,287,113,178,3,17,17,11,2,10.0326561927795
"9",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,137,14,45,256,135,196,4,12,12,2,4,12.1392829418182
"10",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,138,17,35,273,125,171,4,7,7,10,6,8.65146136283875
"11",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,135,19,42,298,111,168,5,10,10,9,11,9.88280248641968
"12",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,121,16,47,258,112,175,6,10,10,6,21,9.2190375328064
"13",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,132,22,46,267,109,170,4,11,11,11,15,8.79183983802795
"14",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,128,7,39,278,140,203,17,7,7,0,9,12.1289987564087
"15",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,138,19,52,261,120,181,1,8,8,11,22,8.75035643577576
"16",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,142,25,37,316,118,172,5,12,12,13,13,8.58595108985901
"17",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,131,20,40,295,122,177,4,11,11,9,10,10.489385843277
"18",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,125,22,48,275,124,187,1,14,14,8,12,7.52140426635742
"19",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,135,12,33,291,110,159,8,8,8,4,17,31.3908169269562
"20",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,131,7,50,270,129,203,18,6,6,1,16,24.2867693901062
"21",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,129,19,43,256,121,174,2,8,8,11,24,14.5418791770935
"22",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,134,7,37,278,150,205,13,5,5,2,23,10.9827780723572
"23",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,132,11,36,279,125,184,15,8,8,3,19,12.2838180065155
"24",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,123,8,36,262,146,202,13,7,7,1,18,19.2531232833862
"25",0.4,4,2.04438841319643,0.08,0.25,0.4,6.5,2.5,1000,1,1,136,15,46,296,130,193,7,10,10,5,25,11.8073403835297
"26",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,151,24,166,287,500,711,25,20,20,4,6,11.2962052822113
"27",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,131,43,143,319,530,703,0,30,30,13,5,12.0033156871796
"28",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,140,30,208,290,511,752,7,26,26,4,4,9.83249592781067
"29",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,124,34,168,296,522,715,0,25,25,9,8,12.705185174942
"30",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,135,27,188,253,451,682,19,24,24,3,7,11.4760670661926
"31",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,129,33,177,274,502,718,8,31,31,2,15,10.4453580379486
"32",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,128,26,144,281,517,690,6,23,23,3,14,10.9996471405029
"33",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,134,33,140,260,505,673,6,22,22,11,3,13.9135572910309
"34",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,121,25,159,270,524,706,5,18,18,7,21,11.8475556373596
"35",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,135,21,175,273,513,720,14,18,18,3,2,6.45677804946899
"36",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,137,24,205,273,477,716,14,20,20,4,9,5.3411066532135
"37",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,134,23,200,274,518,748,10,20,20,3,22,31.0162727832794
"38",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,128,27,185,267,528,743,7,23,23,4,16,24.0790567398071
"39",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,137,29,156,281,441,631,12,22,22,7,10,14.6600246429443
"40",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,138,22,170,277,535,735,9,21,21,1,20,10.7537348270416
"41",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,133,40,130,296,538,712,15,29,29,11,1,11.682302236557
"42",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,142,50,134,290,437,607,2,34,34,16,11,23.8804657459259
"43",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,132,49,120,296,545,708,4,39,39,10,13,13.8563053607941
"44",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,129,32,169,270,468,667,4,26,26,6,23,11.5608971118927
"45",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,127,29,150,254,553,756,28,25,25,4,17,10.1610629558563
"46",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,133,29,150,271,521,697,3,23,23,6,25,9.87298274040222
"47",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,135,19,166,283,544,737,8,19,19,0,24,9.74093675613403
"48",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,141,23,161,288,534,728,13,20,20,3,18,10.4847960472107
"49",0.4,4,8.91852316725999,0.08,0.25,0.4,6.5,2.5,1000,1,2,127,29,158,265,572,764,11,23,23,6,12,10.443142414093
