"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","run_id","run_duration"
"1",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,130,34,135,267,451,610,2,22,22,12,1,35.5084249973297
"2",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,138,28,159,288,579,766,4,24,24,4,3,28.8152055740356
"3",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,139,36,133,258,533,711,18,27,27,9,5,20.645712852478
"4",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,129,32,168,291,484,682,8,22,22,10,7,14.3735575675964
"5",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,126,30,160,293,529,723,10,24,24,6,20,9.29627132415771
"6",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,125,25,149,263,487,672,13,23,23,2,14,16.8346154689789
"7",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,132,34,189,295,513,739,10,27,27,7,8,19.451488494873
"8",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,138,27,148,307,528,707,9,22,22,5,2,21.5817260742188
"9",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,127,37,187,278,505,726,5,29,29,8,4,14.7575385570526
"10",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,129,28,161,310,496,698,14,27,27,1,6,14.4157106876373
"11",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,129,30,142,270,528,703,7,26,26,4,11,14.5109424591064
"12",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,142,20,185,278,569,783,12,17,17,3,21,14.1189048290253
"13",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,124,25,170,291,542,749,15,22,22,3,15,14.3909258842468
"14",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,134,29,164,286,488,687,11,24,24,5,9,12.8829927444458
"15",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,134,34,135,274,492,657,6,24,24,10,22,13.5919063091278
"16",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,139,40,140,288,481,651,2,28,28,12,13,16.2220466136932
"17",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,132,41,152,299,440,634,11,31,31,10,10,13.4174971580505
"18",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,140,51,72,262,467,577,0,38,38,13,12,15.3280084133148
"19",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,143,37,162,245,509,706,7,28,28,9,17,37.5746650695801
"20",0.4,4,8.26279850420542,0.08,0.25,0.4,6.5,2.5,1000,1,1,122,23,161,283,502,695,12,20,20,3,16,29.82750415802
