"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"randomBoost"
"02/18/2020 00:38:12:319 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","startingFund","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"10","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","48","4964.374359736005","51","232","775","902","3","41","41","7","9"
"27","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","42","5940.7156897720015","43","266","879","1018","11","36","36","6","10"
"24","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","41","5832.223892308004","48","270","923","1034","6","35","35","6","7"
"12","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","54","5348.392221660001","38","238","833","960","2","46","46","8","10"
"13","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","42","5057.164140988014","102","270","803","998","9","33","33","9","9"
"2","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","60","4383.785157780002","52","233","684","823","5","47","47","13","11"
"14","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","52","4574.346273727999","35","210","727","845","2","44","44","8","4"
"21","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","46","5766.551761132017","79","295","846","1026","5","43","43","3","11"
"17","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","41","5913.648539987998","61","290","954","1089","7","32","32","9","10"
"1","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","45","4996.660292416011","63","255","757","914","0","39","39","6","7"
"3","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","29","5981.642849767995","74","305","901","1053","7","24","24","5","6"
"6","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","58","4735.79577749601","31","186","749","856","2","45","45","13","7"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","42","5153.204893739996","65","254","746","901","6","38","38","4","4"
"16","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","57","4924.818312772004","55","275","757","916","2","50","50","7","10"
"28","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","52","4805.8431034240075","28","229","768","880","2","43","43","9","11"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","55","5250.009534867997","41","249","791","919","2","50","50","5","9"
"22","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","42","5146.335792232012","32","255","801","927","10","36","36","6","10"
"26","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","40","5433.633804844009","55","283","792","953","24","38","38","2","10"
"11","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","34","5184.220508432008","71","276","853","997","0","26","26","8","3"
"19","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","56","4684.427856779996","32","224","776","883","3","40","40","16","9"
"23","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","39","5467.0706807880015","76","237","825","979","3","24","24","15","3"
"8","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","51","5459.469235136013","30","249","835","949","7","44","44","7","5"
"7","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","35","5780.129015412004","98","263","871","1053","1","26","26","9","3"
"9","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","55","4944.766681648002","69","232","789","944","2","37","37","18","5"
