"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"randomChance"
"06/11/2020 23:14:01:552 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","randomChance","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"10","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","44","5648.247452624","5003.752547376029","868","114","115","6","350","271","776","12","12","12","32","0","92","0"
"11","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0.001","true","true","true","true","false","true","true","false","1000","47","5837.46845081199","4814.531549188045","884","142","71","4","452","201","780","12","14","14","33","0","104","2"
"8","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","39","5897.469239088006","4754.53076091203","894","130","116","2","391","248","812","6","7","7","32","0","82","1"
"2","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","32","5418.743069072","5233.256930928056","826","105","140","5","264","298","782","13","14","14","18","0","44","1"
"5","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","47","5540.5686343439975","5111.431365656015","857","95","77","6","457","208","812","13","14","14","33","0","45","1"
"4","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","41","5633.705880407993","5018.294119592034","851","91","104","5","386","255","807","6","10","10","31","0","44","4"
"21","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","45","5655.080298628005","4996.91970137204","841","132","84","5","432","175","750","12","13","13","32","0","91","1"
"17","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","45","5369.8555023160025","5282.144497684019","842","98","81","11","439","201","778","10","12","12","33","0","65","2"
"25","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","42","5774.890233244001","4877.1097667560225","859","90","74","3","433","248","814","8","11","11","31","0","45","3"
"3","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","39","5747.402167284002","4904.597832716026","868","84","105","7","422","234","825","14","16","16","23","0","44","2"
"15","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","47","5500.446829163993","5151.55317083603","838","93","70","10","463","187","786","13","15","15","32","0","52","2"
"24","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","53","5874.9590913640095","4777.040908636027","871","51","76","4","516","215","836","8","9","9","44","0","35","1"
"18","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","47","6165.041260572007","4486.958739428015","908","121","119","5","410","241","844","10","12","12","35","0","64","2"
"13","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","38","5567.900665384001","5084.099334616041","828","50","95","4","398","270","799","8","11","11","27","0","29","3"
"27","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","51","5635.230968175994","5016.769031824055","871","111","77","12","487","168","811","15","16","16","35","0","60","1"
"7","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","45","5753.43689210001","4898.563107900034","890","133","89","3","414","237","804","11","14","14","31","0","86","3"
"1","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","44","5510.040427392004","5141.959572608011","812","49","66","4","477","205","791","10","11","11","33","0","21","1"
"23","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","46","5583.11491634","5068.8850836600095","838","68","78","9","470","193","811","19","20","20","26","0","27","1"
"26","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","37","5605.158589759997","5046.8414102400575","866","91","106","9","380","266","811","13","14","14","23","0","55","1"
"9","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","8.0E-4","true","true","true","true","false","true","true","false","1000","38","5729.424324691993","4922.57567530803","862","154","96","5","348","248","760","8","11","11","27","0","102","3"
"28","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","37","5896.556560184","4755.443439816024","933","129","127","4","335","331","846","5","7","7","30","0","88","2"
"6","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","40","6014.556960652001","4637.443039348021","890","102","93","8","442","232","832","11","13","13","27","0","58","2"
"22","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0.001","true","true","true","true","false","true","true","false","1000","47","6032.490488412001","4619.509511588014","908","137","77","3","451","225","808","12","15","15","32","0","100","3"
"20","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","8.0E-4","true","true","true","true","false","true","true","false","1000","45","6105.0374275319955","4546.962572468019","953","131","104","5","452","247","862","10","14","14","31","0","91","4"
"16","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","43","5587.682904796","5064.317095204029","860","126","81","3","416","226","791","5","8","8","35","0","69","3"
"12","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","35","5589.210778563999","5062.789221436023","857","70","140","10","324","303","837","9","10","10","25","0","20","1"
"14","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","50","5604.4626095440035","5047.537390456026","833","103","62","5","487","156","788","18","20","20","30","0","45","2"
"19","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","44","5729.641046404003","4922.358953596039","867","108","91","4","407","243","798","13","14","14","30","0","69","1"
"30","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","40","5918.934669472006","4733.0653305280175","920","134","103","11","375","284","832","11","13","13","27","0","88","2"
"32","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","38","5964.676924051993","4687.323075948036","909","115","124","10","366","283","818","8","11","11","27","0","91","3"
"39","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","41","5996.388457916002","4655.61154208404","903","107","96","10","437","240","845","11","13","13","28","0","58","2"
"41","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","36","5837.295715996004","4814.704284004038","911","119","109","6","349","319","831","8","9","9","27","0","80","1"
"35","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","39","6143.498057672003","4508.501942328019","924","77","105","4","452","272","895","14","14","14","25","0","29","0"
"34","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","49","5076.974042163999","5575.025957836045","771","59","72","4","413","211","751","12","12","12","37","0","20","0"
"29","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","41","5791.370381820005","4860.629618180041","892","127","102","4","405","242","818","11","12","12","29","0","74","1"
