"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"reduceWindows"
"03/13/2020 02:15:28:248 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","randomChance","startingFund","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"11","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0.001","7490","true","false","true","true","true","false","true","true","1000","50","7489.975735800001","0","334","0","2276","0","0","0","50","0","1944"
"18","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","6.0E-4","7490","true","false","true","true","true","false","true","true","1000","51","7489.942558976004","0","359","0","2325","0","0","0","51","0","1970"
"20","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","8.0E-4","7490","true","false","true","true","true","false","true","true","1000","54","7489.994701124003","0","371","0","2336","0","0","0","54","0","1967"
"22","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0.001","7490","true","false","true","true","true","false","true","true","1000","44","7489.99657646401","0","331","0","2319","0","0","0","44","0","1989"
"19","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","7.0E-4","7490","true","false","true","true","true","false","true","true","1000","43","7489.949026676","0","357","0","2297","0","0","0","43","0","1942"
"15","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","3.0E-4","7490","true","false","true","true","true","false","true","true","1000","56","7489.979974512002","0","345","0","2287","0","0","0","56","0","1948"
"9","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","8.0E-4","7490","true","false","true","true","true","false","true","true","1000","51","7489.939705536017","0","379","0","2221","0","0","0","51","0","1847"
"23","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0","7490","true","false","true","true","true","false","true","true","1000","58","7489.956417392005","0","315","0","2307","0","0","0","58","0","1999"
"7","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","6.0E-4","7490","true","false","true","true","true","false","true","true","1000","56","7489.990325664013","0","374","0","2344","0","0","0","56","0","1974"
"4","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","3.0E-4","7490","true","false","true","true","true","false","true","true","1000","44","7489.983580644003","0","352","0","2287","0","0","0","44","0","1939"
"3","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","2.0E-4","7490","true","false","true","true","true","false","true","true","1000","51","7489.940800860004","0","345","0","2250","0","0","0","51","0","1909"
"25","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","2.0E-4","7490","true","false","true","true","true","false","true","true","1000","55","7489.975720100005","0","351","0","2270","0","0","0","55","0","1923"
"27","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","4.0E-4","7490","true","false","true","true","true","false","true","true","1000","55","7489.987749788008","0","341","0","2252","0","0","0","55","0","1914"
"2","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","1.0E-4","7490","true","false","true","true","true","false","true","true","1000","43","7489.95009575601","0","355","0","2284","0","0","0","43","0","1932"
"24","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","1.0E-4","7490","true","false","true","true","true","false","true","true","1000","47","7489.985681696","0","322","0","2230","0","0","0","47","0","1910"
"26","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","3.0E-4","7490","true","false","true","true","true","false","true","true","1000","54","7489.984238356001","0","329","0","2271","0","0","0","54","0","1944"
"28","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","5.0E-4","7490","true","false","true","true","true","false","true","true","1000","46","7489.961904984003","0","400","0","2331","0","0","0","46","0","1934"
"12","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0","7490","true","false","true","true","true","false","true","true","1000","58","7489.894070572005","0","364","0","2344","0","0","0","58","0","1986"
"1","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0","7490","true","false","true","true","true","false","true","true","1000","58","7489.988327468014","0","346","0","2287","0","0","0","58","0","1945"
