"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numWindows"
"02/18/2020 00:38:57:572 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","limitedFund?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"6","0.3","4","0.08","5","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","35","3560.381492972004","41","266","497","620","5","31","31","4","8"
"1","0.3","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","27","1518.4221245880012","17","304","224","304","2","14","14","13","14"
"5","0.3","4","0.08","4","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","34","3011.6213194600036","23","297","421","539","3","26","26","8","14"
"27","0.3","4","0.08","26","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","55","10612.651758779957","179","251","1732","2008","4","47","47","8","3"
"8","0.3","4","0.08","7","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","37","3995.437495004004","59","281","628","767","2","29","29","8","8"
"3","0.3","4","0.08","2","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","31","1995.6518018960019","24","279","281","375","2","17","17","14","8"
"22","0.3","4","0.08","21","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","51","9265.370369807993","111","245","1504","1709","15","43","43","8","3"
"7","0.3","4","0.08","6","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","39","3603.9436016400064","39","280","569","691","3","27","27","12","9"
"16","0.3","4","0.08","15","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","54","6840.587357372028","37","232","1181","1298","2","34","34","20","6"
"25","0.3","4","0.08","24","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","53","9919.998651199992","148","253","1626","1869","3","42","42","11","3"
"18","0.3","4","0.08","17","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","43","7106.670990275998","97","251","1170","1358","13","36","36","7","4"
"13","0.3","4","0.08","12","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","32","6481.667131899997","95","254","987","1150","2","28","28","4","9"
"4","0.3","4","0.08","3","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","37","2488.3665509880034","31","306","356","474","5","21","21","16","15"
"17","0.3","4","0.08","16","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","52","7132.692349627996","76","262","1207","1364","2","37","37","15","3"
"2","0.3","4","0.08","1","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","20","1616.2926348880003","13","292","193","292","10","11","11","9","11"
"20","0.3","4","0.08","19","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","50","8344.495756135997","97","220","1397","1580","1","38","38","12","5"
"21","0.3","4","0.08","20","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","60","8399.817831004004","110","219","1362","1570","6","51","51","9","4"
"26","0.3","4","0.08","25","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","53","9923.121976115997","148","215","1685","1921","5","48","48","5","9"
"11","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","38","5516.68387203601","95","265","790","992","10","35","35","3","9"
"28","0.3","4","0.08","27","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","52","10528.177545563944","208","220","1751","2067","14","48","48","4","1"
"12","0.3","4","0.08","11","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","45","5969.531115588016","87","244","945","1108","2","37","37","8","4"
"24","0.3","4","0.08","23","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","61","8958.041657423999","114","221","1450","1647","1","49","49","12","7"
"15","0.3","4","0.08","14","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","44","6890.998040524013","63","252","1133","1266","7","33","33","11","4"
"10","0.3","4","0.08","9","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","49","4470.0818201520015","56","231","719","842","4","31","31","18","10"
"9","0.3","4","0.08","8","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","41","4055.355075408003","64","256","606","754","4","25","25","16","5"
"19","0.3","4","0.08","18","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","48","9316.624649311996","173","257","1374","1678","36","41","41","7","8"
"23","0.3","4","0.08","22","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","57","9500.214022160011","138","267","1594","1814","2","41","41","16","6"
"14","0.3","4","0.08","13","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","48","6293.459178044","71","247","1012","1168","3","34","34","14","3"
"29","0.3","4","0.08","28","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","64","11203.42855431599","84","223","1947","2123","4","55","55","9","5"
"31","0.3","4","0.08","30","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","58","11717.984630299965","139","225","1952","2181","8","51","51","7","3"
"30","0.3","4","0.08","29","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","55","11490.26753287999","159","217","1837","2077","1","43","43","12","5"
"33","0.3","4","0.08","32","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","57","12999.657559179937","150","237","2132","2366","5","50","50","7","4"
"32","0.3","4","0.08","31","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","46","14454.762249339923","176","289","2300","2575","10","44","44","2","5"
"34","0.3","4","0.08","33","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","63","13357.880827551973","138","236","2162","2395","5","53","53","10","4"
"35","0.3","4","0.08","34","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","57","12457.712853424","157","219","2142","2393","5","51","51","6","4"
"37","0.3","4","0.08","36","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","60","14134.234633128006","265","226","2282","2649","6","57","57","3","4"
"38","0.3","4","0.08","37","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","63","13561.12521937191","193","208","2296","2585","10","53","53","10","1"
"36","0.3","4","0.08","35","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","56","14121.382687099891","166","240","2393","2665","18","51","51","5","1"
"41","0.3","4","0.08","40","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","60","13795.362014467924","113","218","2473","2659","2","50","50","10","6"
"44","0.3","4","0.08","2","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","34","1936.3186043239994","22","269","241","356","3","24","24","10","18"
"40","0.3","4","0.08","39","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","59","14988.375755416002","262","238","2564","2924","9","49","49","10","7"
"42","0.3","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","19","1659.8041505440017","16","305","212","305","5","14","14","5","14"
"39","0.3","4","0.08","38","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","51","15683.314244523883","247","218","2578","2914","5","48","48","3","1"
"45","0.3","4","0.08","3","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","28","2418.8506603760015","18","265","345","434","1","20","20","8","7"
