"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"zeroDecay"
"06/10/2020 21:56:06:712 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"13","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","102","10526.042654003959","10659","1649","369","322","6","723","157","758","8","72","72","30","0","895","64"
"11","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","119","10455.179070275984","10659","1646","297","217","9","927","115","812","8","81","81","38","0","835","73"
"14","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","115","10428.967870591987","10659","1648","345","264","5","809","151","793","5","74","74","41","0","859","69"
"21","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","105","10271.61979345197","10659","1644","465","227","7","794","79","793","9","72","72","33","0","857","64"
"1","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","112","10806.399922187979","10659","1698","319","280","6","886","134","805","8","73","73","39","0","900","65"
"4","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","103","11092.847861251976","10659","1655","417","241","8","808","107","822","11","74","74","29","0","836","63"
"15","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","113","10361.267793103993","10659","1696","382","222","2","917","100","815","6","73","73","40","0","886","67"
"10","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","115","10732.338500647982","10659","1709","363","269","7","896","101","780","7","73","73","42","0","933","66"
"7","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","89","10881.718257355986","10659","1742","513","321","12","685","149","858","6","62","62","27","0","887","56"
"19","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","109","10702.636448563993","10659","1701","360","243","11","860","150","825","14","77","77","32","0","880","64"
"3","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","101","10703.649786411994","10659","1706","468","284","8","782","104","835","9","60","60","41","0","874","51"
"8","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","112","11134.734607983959","10659","1747","425","271","9","851","112","796","8","79","79","33","0","953","71"
"16","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","116","10526.48104964799","10659","1681","470","194","11","858","76","814","9","72","72","44","0","872","63"
"6","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","104","10685.169349324002","10659","1717","263","346","3","877","166","827","12","62","62","42","0","894","50"
"22","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","111","10601.73395815999","10659","1668","475","178","8","847","87","800","9","73","73","38","0","872","64"
"23","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","90","11118.605833827984","10659","1736","487","307","11","685","182","851","7","64","64","26","0","887","57"
"26","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","116","10920.227074927963","10659","1710","402","184","3","974","81","822","4","66","66","50","0","890","62"
"24","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","103","10521.041402631974","10659","1674","427","306","9","710","149","821","7","73","73","30","0","855","66"
"12","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","114","10328.475516299977","10659","1690","349","295","9","830","127","757","8","80","80","34","0","936","72"
"17","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","115","10586.983205643994","10659","1656","471","219","7","767","118","807","9","74","74","41","0","852","65"
"18","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","109","9609.156947155989","10659","1585","437","223","5","782","74","770","7","64","64","45","0","820","57"
"2","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","90","10780.658133431969","10659","1646","446","296","11","710","119","798","11","64","64","26","0","855","53"
"9","0.52","4","10","0.3","4","4","1000","1","48","0.3","0","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","124","11480.223670307982","10659","1779","366","258","7","977","91","814","9","80","80","44","0","966","71"
