"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"zeroOrgWindow"
"03/30/2020 12:45:28:061 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"14","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","27","2173.4936088679992","0","356","235","356","1","0","0","27","0","0"
"24","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0","0.02","true","false","true","true","true","true","false","true","""allRandom""","1000","63","2047.0155449000006","0","339","96","339","2","0","0","63","0","0"
"9","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","""allRandom""","1000","60","2165.333993735999","30","348","89","348","1","11","11","49","11","0"
"8","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0","0.015","true","false","true","true","true","true","false","true","""allRandom""","1000","66","2228.7619230879995","0","360","61","360","2","0","0","66","0","0"
"13","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","21","1845.5730071680011","23","325","211","325","5","3","3","18","3","0"
"6","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0","0.01","true","false","true","true","true","true","false","true","""allRandom""","1000","95","2172.405084588","0","363","24","363","1","0","0","95","0","0"
"27","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","19","2412.153262064003","18","388","271","388","3","5","5","14","5","0"
"12","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0","0.025","true","false","true","true","true","true","false","true","""allRandom""","1000","44","2312.6320969720027","0","380","195","380","0","0","0","44","0","0"
"28","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","26","2080.7079498840003","0","348","229","348","4","0","0","26","0","0"
"10","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0","0.02","true","false","true","true","true","true","false","true","""allRandom""","1000","64","2367.787079355999","0","396","126","396","2","0","0","64","0","0"
