"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"zeroTolerance"
"02/17/2020 23:50:48:341 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"16","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","133","2210.5688850080037","338","170","0","568","7","117","117","16","21"
"20","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","121","2400.389253387999","384","189","0","624","4","105","105","16","15"
"7","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","138","2068.133803852005","301","162","0","533","3","110","110","28","8"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","124","2255.5730711240017","345","161","0","564","0","108","108","16","11"
"28","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","143","1921.077659288001","273","140","0","487","3","120","120","23","12"
"14","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","137","2346.3571647040026","309","205","0","577","3","123","123","14","20"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","137","2071.3702297200034","311","173","0","547","4","112","112","25","16"
"3","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","136","1843.8864119839993","238","141","0","461","1","112","112","24","13"
"22","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","127","2380.2274147440016","343","184","0","575","0","109","109","18","19"
"9","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","136","1971.433658300005","303","176","0","538","4","110","110","26","8"
