"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"zeroTolerance"
"06/10/2020 21:52:03:465 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"25","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","144","10799.697092567987","10659","1748","0","284","3","1213","154","874","14","94","94","50","0","880","80"
"27","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","136","10409.959037427983","10659","1640","0","253","3","1197","98","803","12","89","89","47","0","843","77"
"2","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","133","10463.806734747992","10659","1690","0","361","5","1109","129","833","17","86","86","47","0","862","69"
"6","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","149","10527.088480135992","10659","1646","0","250","2","1180","113","816","17","101","101","48","0","832","84"
"14","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","136","11115.240443443958","10659","1764","0","372","9","1118","169","811","9","96","96","40","0","957","87"
"4","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","133","10158.520881843975","10659","1643","0","364","10","966","204","799","12","99","99","34","0","848","87"
"1","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","138","10489.634026923994","10659","1640","0","322","4","1071","155","770","10","88","88","50","0","871","78"
"16","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","132","11134.138661735984","10659","1745","0","337","4","1174","139","833","15","91","91","41","0","916","76"
"5","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","140","10196.21056233598","10659","1664","0","310","1","1097","164","796","7","92","92","48","0","871","86"
"3","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","131","10987.065119071982","10659","1751","0","354","8","1109","188","835","8","92","92","39","0","919","84"
