,agencyid,logcapZscore,region,totalDiasaster,FTARegion,Success Rate,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
0,1013,-0.569039697,northeast,22,FTA Region1,0.79,0.12,0.06,5.866236081,5.987871557,5.954379213999999
1,4043,-0.8156608470000001,south,20,FTA Region4,0.62,0.125,0.065,6.36205783,6.490510194,6.475523823
2,6017,-0.234671573,south,20,FTA Region6,0.72,0.125,0.065,6.374962673,6.4947077470000005,6.510673816000001
3,1061,-0.6169959279999999,northeast,20,FTA Region1,0.79,0.12,0.06,5.884828716,6.0179212810000005,6.033859756
4,4042,-0.121028585,south,19,FTA Region4,0.62,0.125,0.065,6.359648992,6.478572037,6.466052388
5,1003,2.60592746,northeast,18,FTA Region1,0.79,0.12,0.06,5.873083836,6.005447376,5.959173332000001
6,3001,-0.705518447,south,17,FTA Region3,0.94,0.125,0.065,6.365055017,6.494339722,6.486814962
7,1057,-0.6005787020000001,northeast,17,FTA Region1,0.56,0.12,0.06,5.869641799,6.007848301,6.021967577000001
8,1064,-0.6315111999999999,northeast,17,FTA Region1,0.79,0.12,0.06,5.865751464,5.986648337999999,5.96173375
9,7016,-1.167233089,midwest,17,FTA Region7,0.67,0.107,0.05,5.399235561,5.531065006,5.522412192999999
10,4140,-0.8915626409999999,south,17,FTA Region4,0.7,0.125,0.065,6.3641460489999995,6.4942204939999995,6.472390787
11,1040,-1.169055819,northeast,17,FTA Region1,0.56,0.12,0.06,5.875149969,5.990364587999999,6.020183592
12,7003,-0.9053719000000001,midwest,17,FTA Region7,0.67,0.107,0.05,5.390557297999999,5.532559577000001,5.458483244
13,1008,0.094663571,northeast,16,FTA Region1,0.79,0.12,0.06,5.86671973,6.005719292999999,6.030967771
14,6008,1.742495161,south,15,FTA Region6,0.63,0.125,0.065,6.363623727,6.498327238,6.5196988870000006
15,6022,-0.47409538700000003,south,15,FTA Region6,0.84,0.125,0.065,6.3496221770000005,6.480355876,6.499806767999999
16,4046,-0.293483515,south,15,FTA Region4,0.7,0.125,0.065,6.37027812,6.491647201,6.465550346000001
17,4032,-0.38037225799999996,south,15,FTA Region4,0.7,0.125,0.065,6.387160238,6.503742572999999,6.516784701000001
18,4036,-0.485188952,south,15,FTA Region4,0.7,0.125,0.065,6.365758564,6.483847526,6.500899167
19,4029,0.866136725,south,14,FTA Region4,0.7,0.125,0.065,6.372067099,6.49010455,6.51316003
